gene frequency 
ENSG00000137413.14 3
ENSG00000137073.19 3
ENSG00000136940.12 3
ENSG00000136937.11 3
ENSG00000136861.16 3
ENSG00000136813.13 3
ENSG00000136811.15 3
ENSG00000136715.16 3
ENSG00000136709.10 3
ENSG00000136527.16 3
ENSG00000136504.10 3
ENSG00000135966.11 3
ENSG00000135870.10 3
ENSG00000135837.14 3
ENSG00000134987.10 3
ENSG00000134982.15 3
ENSG00000134852.13 3
ENSG00000134313.13 3
ENSG00000133858.14 3
ENSG00000133422.11 3
ENSG00000132466.16 3
ENSG00000132463.12 3
ENSG00000132254.11 3
ENSG00000132199.17 3
ENSG00000130803.13 3
ENSG00000130348.10 3
ENSG00000129933.19 3
ENSG00000129534.12 3
ENSG00000129493.13 3
ENSG00000129295.7 3
ENSG00000129003.14 3
ENSG00000128059.7 3
ENSG00000128039.9 3
ENSG00000127586.15 3
ENSG00000127334.10 3
ENSG00000127328.20 3
ENSG00000127314.16 3
ENSG00000127081.12 3
ENSG00000126883.15 3
ENSG00000126778.8 3
ENSG00000126464.12 3
ENSG00000125703.13 3
ENSG00000125686.10 3
ENSG00000125633.9 3
ENSG00000125482.11 3
ENSG00000125386.13 3
ENSG00000124151.17 3
ENSG00000123352.16 3
ENSG00000122741.14 3
ENSG00000121067.16 3
ENSG00000120868.12 3
ENSG00000120685.18 3
ENSG00000120137.6 3
ENSG00000120071.11 3
ENSG00000119446.12 3
ENSG00000119401.10 3
ENSG00000119185.11 3
ENSG00000119041.9 3
ENSG00000118939.16 3
ENSG00000118922.15 3
ENSG00000118762.6 3
ENSG00000118655.4 3
ENSG00000118260.13 3
ENSG00000118058.19 3
ENSG00000116903.7 3
ENSG00000116497.16 3
ENSG00000116062.13 3
ENSG00000115904.11 3
ENSG00000115760.12 3
ENSG00000115183.12 3
ENSG00000115020.15 3
ENSG00000114346.12 3
ENSG00000114120.10 3
ENSG00000113810.14 3
ENSG00000113597.16 3
ENSG00000113269.12 3
ENSG00000112624.11 3
ENSG00000112282.16 3
ENSG00000112144.14 3
ENSG00000111737.10 3
ENSG00000111707.10 3
ENSG00000111679.15 3
ENSG00000111412.5 3
ENSG00000111300.8 3
ENSG00000110931.17 3
ENSG00000110536.12 3
ENSG00000110514.17 3
ENSG00000110367.10 3
ENSG00000108578.13 3
ENSG00000108557.16 3
ENSG00000108510.8 3
ENSG00000108256.7 3
ENSG00000108021.18 3
ENSG00000107882.10 3
ENSG00000107185.9 3
ENSG00000105497.6 3
ENSG00000104611.10 3
ENSG00000104517.11 3
ENSG00000103540.15 3
ENSG00000103351.11 3
ENSG00000102763.14 3
ENSG00000102543.13 3
ENSG00000102221.12 3
ENSG00000101639.17 3
ENSG00000101596.13 3
ENSG00000101544.7 3
ENSG00000101109.10 3
ENSG00000100916.12 3
ENSG00000100888.11 3
ENSG00000100852.11 3
ENSG00000100731.14 3
ENSG00000100722.17 3
ENSG00000100578.13 3
ENSG00000100485.10 3
ENSG00000100320.21 3
ENSG00000100281.12 3
ENSG00000100207.17 3
ENSG00000100060.16 3
ENSG00000099364.15 3
ENSG00000097046.11 3
ENSG00000095319.13 3
ENSG00000095261.12 3
ENSG00000090060.16 3
ENSG00000088179.7 3
ENSG00000083544.12 3
ENSG00000083093.8 3
ENSG00000082516.8 3
ENSG00000081791.7 3
ENSG00000081386.11 3
ENSG00000081377.15 3
ENSG00000080345.16 3
ENSG00000079387.12 3
ENSG00000078699.20 3
ENSG00000076554.14 3
ENSG00000075856.10 3
ENSG00000075568.15 3
ENSG00000075413.16 3
ENSG00000072121.14 3
ENSG00000070061.13 3
ENSG00000068654.14 3
ENSG00000067596.9 3
ENSG00000066279.15 3
ENSG00000064607.15 3
ENSG00000062194.14 3
ENSG00000060749.13 3
ENSG00000058804.11 3
ENSG00000058272.14 3
ENSG00000056586.14 3
ENSG00000055609.16 3
ENSG00000054611.12 3
ENSG00000053770.10 3
ENSG00000051825.13 3
ENSG00000048991.15 3
ENSG00000047315.13 3
ENSG00000040275.15 3
ENSG00000039319.15 3
ENSG00000029363.14 3
ENSG00000022567.8 3
ENSG00000020256.18 3
ENSG00000011454.15 3
ENSG00000010244.15 3
ENSG00000009830.10 3
ENSG00000008869.10 3
ENSG00000007923.14 3
ENSG00000005810.16 3
ENSG00000005339.11 3
ENSG00000005156.10 3
ENSG00000005100.11 3
ENSG00000281789.1 2
ENSG00000281649.1 2
ENSG00000281468.1 2
ENSG00000280798.1 2
ENSG00000280187.1 2
ENSG00000279453.1 2
ENSG00000278784.1 2
ENSG00000278600.1 2
ENSG00000278540.3 2
ENSG00000278053.3 2
ENSG00000277972.1 2
ENSG00000277161.1 2
ENSG00000277072.3 2
ENSG00000276234.3 2
ENSG00000275888.1 2
ENSG00000275457.1 2
ENSG00000275066.3 2
ENSG00000275023.3 2
ENSG00000274561.1 2
ENSG00000274265.3 2
ENSG00000273820.1 2
ENSG00000273271.1 2
ENSG00000272807.1 2
ENSG00000272667.1 2
ENSG00000272335.1 2
ENSG00000272333.4 2
ENSG00000271581.1 2
ENSG00000271122.1 2
ENSG00000270673.1 2
ENSG00000270189.1 2
ENSG00000269609.4 2
ENSG00000267102.1 2
ENSG00000266967.5 2
ENSG00000266338.5 2
ENSG00000266094.5 2
ENSG00000264247.1 2
ENSG00000261799.1 2
ENSG00000261716.1 2
ENSG00000261652.2 2
ENSG00000261474.1 2
ENSG00000261455.1 2
ENSG00000260274.1 2
ENSG00000259943.1 2
ENSG00000259891.1 2
ENSG00000259291.2 2
ENSG00000257621.6 2
ENSG00000257365.6 2
ENSG00000257303.1 2
ENSG00000257267.2 2
ENSG00000257218.4 2
ENSG00000257151.1 2
ENSG00000256751.4 2
ENSG00000256340.7 2
ENSG00000256210.3 2
ENSG00000256164.1 2
ENSG00000256060.2 2
ENSG00000255455.2 2
ENSG00000255277.3 2
ENSG00000255153.1 2
ENSG00000254837.2 2
ENSG00000254685.5 2
ENSG00000254531.1 2
