gene frequency
ENSG00000167987.9 3
ENSG00000167711.12 3
ENSG00000167548.13 3
ENSG00000167528.11 3
ENSG00000167283.6 3
ENSG00000166913.11 3
ENSG00000166881.8 3
ENSG00000166860.2 3
ENSG00000166821.7 3
ENSG00000166557.11 3
ENSG00000165525.16 3
ENSG00000165475.12 3
ENSG00000165417.10 3
ENSG00000165244.6 3
ENSG00000165219.20 3
ENSG00000165152.7 3
ENSG00000165140.8 3
ENSG00000165118.13 3
ENSG00000165030.3 3
ENSG00000164713.8 3
ENSG00000164609.8 3
ENSG00000164576.10 3
ENSG00000164466.11 3
ENSG00000164405.9 3
ENSG00000164402.12 3
ENSG00000164284.13 3
ENSG00000164169.11 3
ENSG00000164088.16 3
ENSG00000164008.12 3
ENSG00000163956.9 3
ENSG00000163866.8 3
ENSG00000163743.12 3
ENSG00000163686.12 3
ENSG00000163170.10 3
ENSG00000163125.14 3
ENSG00000163104.16 3
ENSG00000163029.14 3
ENSG00000162910.17 3
ENSG00000162664.15 3
ENSG00000162654.8 3
ENSG00000162645.11 3
ENSG00000162601.8 3
ENSG00000162522.9 3
ENSG00000162402.11 3
ENSG00000161677.10 3
ENSG00000161671.15 3
ENSG00000160685.12 3
ENSG00000160058.17 3
ENSG00000159055.3 3
ENSG00000158169.10 3
ENSG00000157657.13 3
ENSG00000157426.12 3
ENSG00000157350.11 3
ENSG00000156853.10 3
ENSG00000156411.8 3
ENSG00000156172.5 3
ENSG00000156030.11 3
ENSG00000155926.12 3
ENSG00000155660.9 3
ENSG00000155561.13 3
ENSG00000154734.13 3
ENSG00000154429.9 3
ENSG00000154001.12 3
ENSG00000153944.9 3
ENSG00000153922.9 3
ENSG00000153904.17 3
ENSG00000153317.13 3
ENSG00000152942.17 3
ENSG00000152583.11 3
ENSG00000151503.11 3
ENSG00000151491.11 3
ENSG00000150977.10 3
ENSG00000150455.12 3
ENSG00000149503.11 3
ENSG00000149480.5 3
ENSG00000149474.12 3
ENSG00000149308.15 3
ENSG00000148925.9 3
ENSG00000148730.6 3
ENSG00000148229.11 3
ENSG00000148225.14 3
ENSG00000148218.14 3
ENSG00000147535.15 3
ENSG00000147457.12 3
ENSG00000147065.15 3
ENSG00000146918.18 3
ENSG00000146842.15 3
ENSG00000146776.13 3
ENSG00000146592.15 3
ENSG00000146247.13 3
ENSG00000145907.13 3
ENSG00000145833.14 3
ENSG00000145734.17 3
ENSG00000145494.10 3
ENSG00000145439.10 3
ENSG00000145354.8 3
ENSG00000144843.10 3
ENSG00000144746.6 3
ENSG00000144724.17 3
ENSG00000144283.20 3
ENSG00000144233.8 3
ENSG00000143889.14 3
ENSG00000143624.12 3
ENSG00000143622.9 3
ENSG00000143575.13 3
ENSG00000143546.8 3
ENSG00000143537.12 3
ENSG00000143376.11 3
ENSG00000143158.9 3
ENSG00000142961.13 3
ENSG00000142188.15 3
ENSG00000141699.9 3
ENSG00000141447.15 3
ENSG00000141219.14 3
ENSG00000141026.5 3
ENSG00000140750.15 3
