gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
ENSG00000167578.15	0.145961661109302	1.15715182328308	0.133043050578487	1.09710097952988	0.272597252092413	meno_status	-1.62848662092719	0.196226314327706	2.11966038660004	-0.768277140631619	0.442322552465186	Interaction	0.519891600395986	1.68184532844967	0.648380960565066	0.80183045464953	0.422651039384244
ENSG00000078237.5	-0.0248491080823887	0.975457089514891	0.0484641337695186	-0.512731914296949	0.608138862091796	meno_status	-0.576453420670465	0.56188761596921	1.69416014366985	-0.340259108812326	0.73366140833138	Interaction	0.0774154172898975	1.08049083775011	0.279683479128892	0.276796532748438	0.781936343661116
ENSG00000146083.10	-0.00364636891039526	0.996360271019723	0.0215811867020065	-0.168960537747271	0.865827681379692	meno_status	0.94885834488337	2.58275935508857	1.56906529200467	0.604728400862842	0.545359474090009	Interaction	-0.0612258852490783	0.940610745684698	0.0894791047411469	-0.684247852347182	0.49381867001203
ENSG00000198242.12	-0.00117471956262799	0.998825970150298	0.00192790471303115	-0.609324493419093	0.542309375130093	meno_status	1.98316597306774	7.26570965112791	1.44990799586322	1.36778745873943	0.171378614436623	Interaction	-0.0116324009967855	0.988434993805449	0.0085305675017874	-1.36361396757579	0.172689093740769
ENSG00000134108.11	-0.00567068689403456	0.994345361102174	0.0226919797793258	-0.249898287817135	0.80266600735049	meno_status	0.106193934059424	1.11203751754579	2.53019268238369	0.041970690532303	0.966522063087629	Interaction	-0.012095565737764	0.987977291571519	0.122609606971828	-0.0986510440453757	0.921415340362353
ENSG00000167700.7	0.0267667554352427	1.02712820275127	0.00906195307055246	2.95375127490159	0.00313936916383842	meno_status	1.14935218560485	3.15614764940626	1.02319670625533	1.1232954314437	0.261312043474053	Interaction	-0.0548351294741304	0.946641208322079	0.0407210874689802	-1.34660277714592	0.178108199261155
ENSG00000060642.9	-0.0765370933683788	0.926318553376209	0.0800363895406829	-0.956278685328186	0.338931455568145	meno_status	0.409177178054769	1.50557845231683	1.72764002821051	0.236841686562793	0.812779610243127	Interaction	-0.105642377966847	0.899746359669385	0.326256236465404	-0.323801865402961	0.746088043835326
ENSG00000182141.8	-0.0115269634482393	0.98853921746254	0.207216647893796	-0.0556275934651117	0.955638482127609	meno_status	-1.14263290978488	0.318978074739068	1.86151776205895	-0.613817892621699	0.53933567225749	Interaction	0.735776643283529	2.08710229720536	1.22061084916034	0.602793792787989	0.54664587660938
ENSG00000269416.4	-0.00224920422374357	0.997753323340718	0.123964469696134	-0.0181439426091758	0.985524022579432	meno_status	1.36000900204284	3.89622837565208	1.01419517417538	1.34097364755125	0.179929008720832	Interaction	-0.985621901658642	0.373207056663049	0.676892488659011	-1.45609815173345	0.145365488425842
ENSG00000166391.13	0.0290839761498757	1.02951104521901	0.0335894442207088	0.865866548989955	0.38656334915902	meno_status	-0.258839784708683	0.771946690800654	0.92257535473044	-0.280562214654337	0.779046200702105	Interaction	0.0209211001647524	1.02114148056447	0.121790366269047	0.171779598055691	0.863610805482461
