gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
ENSG00000167578.15	-0.0584823714049073	0.943194867453522	0.0761786642218152	-0.76770014284603	0.442665351301972	meno_status	0.557929835091293	1.747052068258	1.1310434726208	0.493287701664095	0.621809316908714	Interaction	-0.149809467137747	0.860871985203405	0.364278885751771	-0.411249383363467	0.680889680666501
ENSG00000078237.5	0.432540412950282	1.54116775717013	0.152705906413568	2.83250611000499	0.00461846835212944	meno_status	1.8689550708078	6.48152012994884	0.856106902965464	2.18308608928854	0.0290294707975904	Interaction	-1.04978453182178	0.35001315768423	0.505338952857059	-2.07738692195913	0.0377658622672252
ENSG00000146083.10	0.0261556442628008	1.02650070498602	0.0303560494898854	0.861628726475616	0.38889185791987	meno_status	-0.0317029501736752	0.968794319525262	1.14136097813498	-0.0277764447716434	0.977840453061819	Interaction	0.0250855834483944	1.02540287428322	0.177945380647247	0.140973501852927	0.887890875718874
ENSG00000198242.12	0.00224029819046685	1.00224280953349	0.00168943754391238	1.32606156323411	0.184819306359831	meno_status	0.994650762737227	2.70377991567785	0.812152981337794	1.22470862706041	0.220685022493251	Interaction	-0.00634423970288429	0.993675842494618	0.00504382499947372	-1.25782312105322	0.208455731958571
ENSG00000134108.11	0.0413421066150632	1.04220859101725	0.0215433744707819	1.91901722133332	0.0549821544238637	meno_status	0.723819835579911	2.06229581508619	1.33662167296068	0.541529327424876	0.588142788966495	Interaction	-0.0377725254773167	0.962931958467425	0.0815559014949935	-0.46314889278289	0.643257646296709
ENSG00000167700.7	-0.00910539937387054	0.990935929242035	0.0083116601667593	-1.09549707172649	0.273298927700013	meno_status	0.535855931703064	1.70891032696916	1.12823585756181	0.474950275788153	0.634822415366633	Interaction	-0.0208924370423989	0.97932429792231	0.0513933650297766	-0.406520122398955	0.684360474876332
ENSG00000060642.9	0.0460176224919138	1.04709286317986	0.0450610808548883	1.02122766739897	0.307146586951437	meno_status	-0.280503609965009	0.755403217058118	1.09806345748957	-0.255453005062481	0.798373236228731	Interaction	0.0913145721568146	1.09561360058895	0.198099090972927	0.46095401906359	0.644831594480424
ENSG00000166391.13	-0.00301120751744348	0.996993321620714	0.012761699001514	-0.235956632191861	0.813466322534369	meno_status	0.313414629643698	1.36808866355962	0.490623374051487	0.638809005481275	0.522947189124953	Interaction	-0.140998165217823	0.86849090518784	0.188234545217835	-0.749055732860576	0.453823614459726
ENSG00000070087.12	0.0546773106376736	1.05619973526031	0.0212578573334797	2.57209886113783	0.0101084022098647	meno_status	0.986962619821763	2.68307257178038	0.678702364526202	1.45419063113292	0.145893461760383	Interaction	-0.605801632329047	0.545636851136017	0.523128179742793	-1.15803670264313	0.24684905883789
ENSG00000153561.11	0.0166645771760541	1.0168042057812	0.0263974149575708	0.631295799336393	0.527847133036475	meno_status	0.34893834684325	1.4175617904885	1.12253576130214	0.310848312251969	0.755915939898714	Interaction	-0.020355019031268	0.97985074588739	0.0944095786652425	-0.215603324567763	0.82929696412019
ENSG00000179262.8	0.0159202929147125	1.01604769597806	0.0133722962064555	1.19054294557332	0.233833061111392	meno_status	0.245956157546668	1.27884350467598	1.45416621526279	0.169138957407438	0.865687342768424	Interaction	-0.00449468843769214	0.99551539755759	0.0397179271711761	-0.11316523186925	0.909899559505993
ENSG00000127511.8	0.0992871825271169	1.10438341364153	0.112995221799695	0.878684788133095	0.379572208838413	meno_status	0.843713055112132	2.32498376242599	1.18065754117737	0.714612854012492	0.474848299823397	Interaction	-0.270595480118075	0.762925052344444	0.43321502192523	-0.624621646118213	0.532219409406886
ENSG00000064601.15	0.0134224450880105	1.01351293049598	0.00499116470159793	2.68924106706261	0.0071614681628939	meno_status	0.195981767460878	1.21650472516212	0.988866334025678	0.198188330128537	0.84289771760376	Interaction	-0.00304625058283273	0.996958384530707	0.0128186546332144	-0.237641988960338	0.812158780778213
ENSG00000227766.1	-0.00829298753306364	0.991741304428304	0.013806164031446	-0.600672823687656	0.548057923218329	meno_status	0.618484525143155	1.8561130167269	0.581114958963517	1.06430666704277	0.287189798731503	Interaction	-0.112140744642777	0.893918434415379	0.104853525593091	-1.06949903695147	0.284844862571481
ENSG00000008517.15	-0.00171857486904803	0.998282901035137	0.001693415290491	-1.01485729974113	0.310173855200045	meno_status	0.77690904989176	2.17473985369764	0.654598928813688	1.18684742014432	0.235287810301424	Interaction	-0.0101865047140032	0.989865202005956	0.00877999222516886	-1.16019518614179	0.245969346471276
ENSG00000070081.14	-0.00139552435991318	0.998605448931403	0.0233894534170922	-0.0596646845493781	0.952422699250071	meno_status	0.150428971430805	1.16233274333936	0.716618196643065	0.209915087469836	0.833733946476317	Interaction	-0.00834688099080187	0.99168785750046	0.0772186964526289	-0.108094041653791	0.91392109453283
ENSG00000161558.9	-0.316077897401199	0.729002660543047	0.122242087163702	-2.58567163515393	0.00971894709800589	meno_status	-1.40455025887977	0.245477432926322	1.08279227035122	-1.29715578633027	0.194577590044172	Interaction	0.469928214004383	1.59987934016369	0.313710493626909	1.49796778734237	0.134141619924831
ENSG00000179833.4	0.100031827375273	1.10520609332496	0.0617963018582043	1.61873484929248	0.105504325272146	meno_status	1.51908046258646	4.56802279544011	1.11651796841504	1.36055173813538	0.173655392090777	Interaction	-0.320528585907419	0.725765306352269	0.258863729049978	-1.23821358474495	0.215636875729022
ENSG00000064225.11	-0.0287685355924167	0.971641338827271	0.0693493578106432	-0.414834924224799	0.678262751298987	meno_status	0.48760013803433	1.62840358311518	0.774577659846041	0.629504520090662	0.529018810455032	Interaction	-0.138219720306901	0.870907314699389	0.239070877017364	-0.578153734287185	0.563160331485584
