gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..
ENSG00000167578.15	-0.041308783262151	0.9595327965317	0.0546093981962201	-0.756440917252414	0.449384883453582	meno_status	-16.1695150187381	9.49880237826969e-08	3684.93679923741	-0.00438800334976826	0.996498891109865
ENSG00000078237.5	-0.0331654744157986	0.967378469956856	0.0448243942982585	-0.739897882280745	0.459361959514116	meno_status	-15.8548239706463	1.30118017597203e-07	3684.41413555661	-0.00430321440188784	0.99656654226351
ENSG00000146083.10	-0.0109443495001276	0.989115322005864	0.0312172019405564	-0.350587138493955	0.725898106841677	meno_status	-16.0305923312585	1.09144588770961e-07	3677.30065302185	-0.0043593368733898	0.996521763430016
ENSG00000198242.12	-0.00300373296244644	0.997000773729979	0.00177020556605506	-1.69682720472986	0.0897293338324166	meno_status	-16.2651390344908	8.63256525486386e-08	3722.29063151385	-0.00436965853681227	0.996513528012568
ENSG00000134108.11	0.0123907269392599	1.01246781003917	0.0116130974645301	1.06696141809753	0.285989258538378	meno_status	-16.1842935126658	9.35945658163547e-08	3697.39131381371	-0.00437721954184298	0.996507495261084
ENSG00000167700.7	-0.00436172235330901	0.995647776142682	0.0169634093371892	-0.257125337637566	0.797082018340713	meno_status	-15.9793530141791	1.14882839577752e-07	3676.421845667	-0.00434644164488691	0.996532052236272
ENSG00000060642.9	0.0982601033692191	1.10324970675806	0.0696823051526034	1.41011556885253	0.158505560862057	meno_status	-16.1095493621565	1.00858291258605e-07	3715.38315039017	-0.00433590526470057	0.996540458972133
ENSG00000182141.8	-0.155399185464729	0.856073377218377	0.160651791868433	-0.967304402007504	0.33339188376968	meno_status	-16.2608918718758	8.66930713242038e-08	3691.57101945525	-0.00440487038883389	0.99648543328987
ENSG00000070087.12	-0.000814747856232159	0.999185583960681	0.00403841861398269	-0.201749232586033	0.840112771849337	meno_status	-16.0298694116982	1.0922352005614e-07	3675.98394716851	-0.00436070169023601	0.996520674474077
ENSG00000153561.11	-0.00385266474905656	0.996154747242084	0.0266242073245133	-0.144705331584064	0.884943529474364	meno_status	-16.0152902679733	1.10827569877792e-07	3675.61937731856	-0.00435716776519359	0.99652349411152
ENSG00000179262.8	0.0188711544205877	1.01905034002681	0.00955462835198001	1.97507990111169	0.0482590813216886	meno_status	-16.0009204218934	1.12431642534625e-07	3759.21149486531	-0.00425645655844289	0.99660384928321
ENSG00000127511.8	0.00530493117775106	1.00531902724034	0.0593980431876554	0.0893115478735767	0.928834316870557	meno_status	-16.0202949636913	1.1027429724879e-07	3675.37453875447	-0.00435881970524841	0.996522176066571
ENSG00000064601.15	0.00258831762070454	1.00259167020665	0.00654475820829596	0.395479487297737	0.692489057178828	meno_status	-15.9663626143838	1.16384948970846e-07	3678.75324204825	-0.00434015590713935	0.996537067482069
ENSG00000227766.1	-0.000427248408501089	0.999572842849103	0.011764470239718	-0.0363168421352844	0.971029720716182	meno_status	-16.0303102461877	1.09175381172849e-07	3675.25634125073	-0.00436168494324193	0.996519889959145
ENSG00000008517.15	-0.0186883949254325	0.981485150351231	0.00790304217723332	-2.3647089951347	0.0180442431019493	meno_status	-16.222781316663	9.00607569944061e-08	3780.44329841292	-0.00429123783538124	0.996576098092786
ENSG00000088179.7	0.487364090676461	1.62801924811426	0.285170622403758	1.70902628948373	0.0874460798652215	meno_status	-16.2232950593893	9.00145008184745e-08	3728.93768115614	-0.00435064794495557	0.996528696126121
ENSG00000070081.14	0.0150886587128576	1.01520306722313	0.0523717923605146	0.288106593889148	0.773265145340169	meno_status	-15.9843483426278	1.14310393030571e-07	3676.80045095046	-0.00434735269315358	0.996531325331793
ENSG00000275479.1	0.0284636260306868	1.02887258597401	0.0807836350094747	0.352343962082772	0.724580322341529	meno_status	-16.0300172273949	1.09207376298598e-07	3677.58273579996	-0.00435884611686596	0.99652215499335
ENSG00000161558.9	0.021619163126374	1.02185455046551	0.145224436119061	0.148867254741135	0.88165838018045	meno_status	-16.0202531962094	1.10278903224694e-07	3675.6336213201	-0.00435850110394184	0.99652243027122
ENSG00000179833.4	0.0144525508260903	1.01455749389431	0.0294423506863505	0.490876254415059	0.62351397270733	meno_status	-16.0035129272555	1.12140540403447e-07	3679.79232795572	-0.00434902611369541	0.996529990148001
ENSG00000057294.12	-0.0151114814839362	0.98500212398351	0.0209467752892084	-0.721422809730599	0.470649416874096	meno_status	-16.0756513702884	1.04335791954971e-07	3684.81266830442	-0.0043626780564901	0.996519097576956
ENSG00000022567.8	-0.0390373857078183	0.961714754087467	0.0785954057412836	-0.496687883211897	0.619409168306702	meno_status	-16.0580659015366	1.06186813603849e-07	3679.87537029839	-0.00436375265074112	0.996518240182955
ENSG00000120662.14	-0.0125153233236006	0.987562667635607	0.123990315412881	-0.100937910206335	0.919599748781538	meno_status	-16.036360676166	1.08516817479508e-07	3675.41542651239	-0.0043631423431726	0.996518727133306
ENSG00000225630.1	-0.000481911988453461	0.999518204112478	0.000446263682477677	-1.07988170979512	0.280194858998263	meno_status	-16.1282773713249	9.8986993787628e-08	3697.0177006511	-0.00436251018448857	0.99651923151816
ENSG00000164283.11	-0.00474404824325929	0.995267186979773	0.0344293899684549	-0.137790656401578	0.890405869030571	meno_status	-16.0336592227052	1.08810366938224e-07	3675.58033089783	-0.00436221161810077	0.996519469737404
ENSG00000013392.7	0.257074980172758	1.2931420831412	0.197729232569495	1.30013643825986	0.193554210853257	meno_status	-15.7685732482534	1.4183899675888e-07	3710.17393413398	-0.00425009003033009	0.99660892899175
ENSG00000184178.14	-0.0943427139203326	0.909970849118246	0.0661786510276329	-1.42557626145839	0.153990692495383	meno_status	-16.0447087822883	1.07614678386804e-07	3711.19896310199	-0.00432332217749852	0.996550498729038
ENSG00000166913.11	-0.000363826893445682	0.999636239283533	0.00264702139763735	-0.137447658628835	0.890676962340845	meno_status	-16.0416231045489	1.0794725545328e-07	3675.56920191849	-0.0043643915332014	0.996517730433358
ENSG00000130204.11	-0.00409851715612729	0.995909870302685	0.0105972062279461	-0.3867544962293	0.698937967373503	meno_status	-16.0524664225148	1.06783072249973e-07	3678.03890417313	-0.00436440908884936	0.996517716426111
ENSG00000164182.9	0.0348497929848683	1.03546416313667	0.022928043992522	1.51996363040103	0.128520116635422	meno_status	-16.1764956434361	9.43272570035284e-08	3722.86242874236	-0.00434517685062586	0.996533061386556
ENSG00000109618.10	-0.195410469238299	0.822496979048844	0.221059867506284	-0.883970805929956	0.376711972585079	meno_status	-15.8617757186099	1.2921660675403e-07	3687.8633623461	-0.00430107467661687	0.996568249501468
ENSG00000153015.14	0.121999059235824	1.12975303894863	0.0778465679944004	1.56717325347727	0.117074200437261	meno_status	-16.1028160946844	1.01539688551181e-07	3720.91497391183	-0.00432764957210385	0.996547045999994
ENSG00000149089.11	-0.0125110045330701	0.987566932721114	0.0733560454491157	-0.170551785561403	0.864576211874618	meno_status	-16.041007422765	1.08013737075749e-07	3675.75073919496	-0.00436400848722353	0.99651803605692
ENSG00000179632.8	-0.0116858965004181	0.988382118391958	0.00717293304076291	-1.62916570306854	0.103277945283117	meno_status	-16.1861283513118	9.34229923428994e-08	3724.28429536625	-0.00434610439687716	0.99653232131871
ENSG00000114861.17	-0.0767415934828807	0.926129140494116	0.059601554144293	-1.28757705373072	0.197893231196792	meno_status	-15.9998419288636	1.12552964688217e-07	3699.81600729377	-0.00432449664992035	0.996549561644385
ENSG00000138193.13	-0.0589933550709429	0.942713033397515	0.0645670017728577	-0.91367654453706	0.360886832347078	meno_status	-16.1464339073966	9.72059505798466e-08	3690.09223265141	-0.00437561797630057	0.996508773113266
ENSG00000152942.17	-0.046485599367793	0.954578307002103	0.0785253231030826	-0.591982274390261	0.553862458134896	meno_status	-15.9963444889706	1.12947301098977e-07	3680.45307579149	-0.0043462976322638	0.996532167140635
ENSG00000118363.10	-0.0218029418263021	0.97843302428009	0.0291275801585047	-0.748532549139204	0.454138999737542	meno_status	-16.1430367675797	9.75367343262026e-08	3685.46052649169	-0.00438019527045289	0.99650512099593
ENSG00000136169.15	-0.0683474193857742	0.933935949753528	0.17356670129049	-0.393781865286386	0.693742094317896	meno_status	-16.0538818791065	1.06632032366892e-07	3677.74043626662	-0.00436514815477387	0.996517126742438
ENSG00000121644.17	0.0204271502206763	1.02063721233913	0.0374980075758733	0.544752949322549	0.585923442574815	meno_status	-16.0067302652083	1.11780326162953e-07	3680.69868707638	-0.00434882929195235	0.996530147187546
ENSG00000138495.5	-0.0148244253267264	0.985284915494645	0.0199362551337977	-0.743591272645518	0.457123784703916	meno_status	-16.1554385717637	9.63345727407694e-08	3684.95182348753	-0.00438416547776568	0.996501953259228
ENSG00000169992.8	0.0158251608664419	1.01595104187713	0.0260277467942593	0.608011173288818	0.543180063385371	meno_status	-15.9702518226167	1.15933182745034e-07	3683.17696300207	-0.00433599905273075	0.996540384140815
ENSG00000127564.15	-0.0305200456199104	0.969940988803938	0.0352194328696319	-0.866568344041292	0.386178564549614	meno_status	-15.9468969801446	1.18672649352125e-07	3687.55797143284	-0.00432451424592745	0.996549547604934
ENSG00000176973.7	0.00178055768291929	1.00178214381701	0.0146316706871212	0.121692028271696	0.903142926832063	meno_status	-16.0059662403021	1.11865761749468e-07	3675.48638504299	-0.00435478860850546	0.9965253923859
ENSG00000159479.15	0.000913444291582676	1.00091386160888	0.0170577982785715	0.0535499527351178	0.957293731186862	meno_status	-16.0290045632283	1.09318022709682e-07	3675.28420638445	-0.00436129661357448	0.996520199798444
ENSG00000112511.16	-0.0365819231585139	0.964079110255304	0.0247329920755535	-1.47907390447402	0.139120563757645	meno_status	-16.3348167314997	8.05154511249407e-08	3713.53562512956	-0.00439872358325087	0.996490337683629
ENSG00000211950.2	-0.00491407919537384	0.995097975138395	0.0035376280177924	-1.389088725739	0.164805771647942	meno_status	-16.151745204581	9.66910295480274e-08	3702.44961457782	-0.00436244834797644	0.996519280856088
ENSG00000154511.10	0.0378668596721426	1.03859294506764	0.0438629063317936	0.863300288077244	0.387972385854211	meno_status	-15.9975198495379	1.12814625281314e-07	3690.48402813708	-0.00433480262414612	0.99654133874374
ENSG00000144504.14	-0.492828209353121	0.610896206306465	0.338583081305495	-1.4555606483729	0.145514113083553	meno_status	-16.0889457972357	1.02957886914177e-07	3709.28927992055	-0.00433747399652268	0.996539207317002
ENSG00000142507.8	0.00297421718643128	1.0029786445586	0.00499318746510634	0.595655021409843	0.551405711719993	meno_status	-16.0384759502567	1.08287517268987e-07	3681.93279823459	-0.00435599366668147	0.996524430897706
ENSG00000164116.15	0.169476612421933	1.18468463980462	0.0972527050185825	1.74264163027188	0.081396233375504	meno_status	-15.9225476838961	1.2159771193735e-07	3740.50733570859	-0.00425678825219567	0.996603584632283
ENSG00000174013.7	0.0614706913419105	1.06339932926471	0.0477219289686161	1.28810156400711	0.197710610988355	meno_status	-16.5388014805422	6.56583220361971e-08	3708.92196950384	-0.00445919370009143	0.996442089984228
ENSG00000196704.10	0.00218547013479456	1.00218786001534	0.0168529435662235	0.129678837777315	0.896820526176973	meno_status	-16.0204322790459	1.10259155934151e-07	3675.5654063284	-0.00435863071609683	0.996522326856665
ENSG00000176928.5	-0.00461982630140664	0.995390828681749	0.0422875896262926	-0.10924780395935	0.913005945106616	meno_status	-16.0347457744587	1.08692203050442e-07	3675.45868625849	-0.00436265161526861	0.996519118673797
ENSG00000143033.16	-0.101991789082749	0.903036966400241	0.0830791071803173	-1.227646667668	0.219579635033109	meno_status	-16.1166170818649	1.00147966271565e-07	3700.68510082493	-0.00435503606569289	0.996525194945503
ENSG00000259956.1	0.0120028156269654	1.01207513848812	0.0298837260451921	0.401650570909865	0.687941206605428	meno_status	-16.0536466868457	1.0665711434508e-07	3678.20384670676	-0.00436453425527766	0.996517616558702
ENSG00000109805.8	-0.0392507328434242	0.961509596885042	0.0456400055078912	-0.860007189013983	0.389785079669002	meno_status	-15.8888785226933	1.25761507314598e-07	3687.69681215204	-0.004308618449959	0.99656223049696
ENSG00000203780.9	0.0848569856932557	1.08856137571515	0.181437617824366	0.467692349088261	0.64000461320698	meno_status	-16.0083489775699	1.11599532333288e-07	3679.76134763697	-0.00435037695796495	0.996528912340411
ENSG00000111641.9	-0.00739949105844672	0.992627817776841	0.0239930368539827	-0.308401604327068	0.757776761351088	meno_status	-16.0431020999116	1.07787719968253e-07	3676.93043915858	-0.00436317802726311	0.996518698661792
ENSG00000221923.7	-0.126384700520713	0.881275754321495	0.0944182143487604	-1.33856270627906	0.180713073760413	meno_status	-16.3365437325221	8.03765208594141e-08	3706.95108995231	-0.00440700277292632	0.996483731910039
ENSG00000163975.10	0.00566509335564107	1.00568117034188	0.0102740590518694	0.551397780277531	0.581361022002685	meno_status	-16.013563089502	1.1101915427311e-07	3683.94101912654	-0.0043468565339026	0.996531721205859
