gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..
ENSG00000167578.15	-0.0466807858284202	0.95439200442343	0.0729474876684847	-0.639923146367487	0.522222565046053	meno_status	-1.13739256640629	0.32065401680161	0.300530874930193	-3.78461137036412	0.000153948956750582
ENSG00000078237.5	0.197046750045501	1.21780097162597	0.0596111694670341	3.30553404348947	0.00094795587371385	meno_status	-0.956564528014406	0.384210565888588	0.307908584364286	-3.10665105355652	0.00189219609111131
ENSG00000146083.10	0.0177317006763361	1.01788984059456	0.0448946545146154	0.394962404055557	0.692870634196514	meno_status	-1.10479426694981	0.33127903027695	0.300880651839102	-3.6718687632351	0.000240783327608407
ENSG00000198242.12	-0.00576484686568645	0.994251737979005	0.00378018594527365	-1.52501674498161	0.127254921122931	meno_status	-1.16450791694016	0.312076191662181	0.301559728960917	-3.86161614136176	0.000112639444060004
ENSG00000134108.11	-0.00826944631692993	0.991764651499509	0.0158586774748196	-0.521446150226598	0.602056009283884	meno_status	-1.13251678043782	0.322221274859982	0.299892716193805	-3.77640642564302	0.000159107294750952
ENSG00000172137.17	-0.0356839833114384	0.964945184087045	0.0243282067027201	-1.46677409261935	0.142437519550582	meno_status	-1.09202055645561	0.335537835164734	0.298380006145458	-3.65983153684654	0.000252381115777007
ENSG00000167700.7	-0.056691890581368	0.94488515253651	0.0319078412225115	-1.77673851972696	0.0756112714561528	meno_status	-1.08144488194618	0.339105204514308	0.298047972269891	-3.62842556421388	0.000285154939860232
ENSG00000060642.9	0.38401314223784	1.46816473652536	0.0983652926062851	3.9039495747233	9.46355065298184e-05	meno_status	-1.37813935483573	0.25204708723069	0.311801660555385	-4.41992307667947	9.87360408300201e-06
ENSG00000182141.8	0.0315274346183372	1.03202968854788	0.0963700178092832	0.327149826626889	0.743554567165231	meno_status	-1.10290371060763	0.331905924351237	0.302198427716589	-3.64960108807041	0.000262647866601839
ENSG00000070087.12	-0.00430476322604234	0.995704488986218	0.00331414338170314	-1.29890675515376	0.193975931144977	meno_status	-1.04261616849519	0.352531193482812	0.302785835504555	-3.44341130343103	0.000574424979701191
ENSG00000153561.11	-0.000395251729012492	0.999604826372662	0.0474915279553094	-0.00832257343634918	0.99335962380694	meno_status	-1.1202591914887	0.326195236636168	0.310225272917561	-3.61111517753873	0.000304883216423244
ENSG00000179262.8	0.00352551347043621	1.00353173540274	0.0168925394815739	0.208702396361529	0.834680569310535	meno_status	-1.11321422655223	0.328501384467891	0.300169972224117	-3.70861288457282	0.000208397750262545
ENSG00000127511.8	0.0438598110743222	1.04483587020276	0.033222450209761	1.3201859223928	0.186772950935289	meno_status	-1.12926445544905	0.32327094917988	0.299250744629219	-3.77363958391563	0.00016088313787355
ENSG00000064601.15	0.0534950828764729	1.0549518044265	0.0165207267854234	3.23805868659924	0.00120346050917121	meno_status	-1.13744358300032	0.320637658543084	0.300100404328205	-3.79021009833881	0.000150519915359369
ENSG00000227766.1	0.0404962702948908	1.04132742585105	0.0220463255881908	1.83687164252816	0.0662288464716334	meno_status	-1.05802898521303	0.347139353270581	0.303228204565277	-3.48921693062777	0.000484437837142624
ENSG00000008517.15	-0.0105434666437037	0.989511920871014	0.0537351773412364	-0.196211628310989	0.844444526886628	meno_status	-1.12850823186706	0.323515506753469	0.302381791341932	-3.73206411291792	0.000189917146206831
ENSG00000088179.7	-0.0437051954322434	0.957236113459236	0.121266819076236	-0.360405226798003	0.718544118480308	meno_status	-1.12692993801598	0.324026512440998	0.299391494964089	-3.76406797444648	0.000167171409777925
ENSG00000070081.14	-0.0331150705632712	0.96742723078745	0.094706793459826	-0.349658871908892	0.726594722974043	meno_status	-1.1493211897188	0.316851778640506	0.309616788443615	-3.71207645262462	0.000205565870227723
ENSG00000275479.1	-0.102216675797596	0.902833908216883	0.0750735787539197	-1.36155325873896	0.173338914809196	meno_status	-1.0807175319183	0.339351942415798	0.299887257015991	-3.60374609668952	0.000313663477924289
