gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..
ENSG00000167578.15	-0.0657784196294935	0.93633831549808	0.0756080972485554	-0.86999173399712	0.384304921502141	meno_status	0.116229369616106	1.12325348280824	0.445284287894807	0.261022840409684	0.794074893564776
ENSG00000078237.5	0.276937973810797	1.31908455070957	0.147797870469087	1.87376159705035	0.0609632916941808	meno_status	-0.0432120794999891	0.957708258239201	0.451905355673438	-0.0956219680901848	0.923820817134529
ENSG00000146083.10	0.0269217387942728	1.02728740286666	0.029737069741049	0.905325878733439	0.365292770410298	meno_status	0.114911318009329	1.12177395201357	0.445088498290002	0.258176336730358	0.796270819555655
ENSG00000198242.12	0.00111677198135249	1.00111739580338	0.00154796979282801	0.721443006528084	0.470636994490446	meno_status	0.0121116102252019	1.01218525278601	0.460040863439483	0.026327248702756	0.97899632111875
ENSG00000134108.11	0.0385346436576309	1.03928673242806	0.0210096045781449	1.83414416555542	0.0666325969356626	meno_status	0.123388846371686	1.13132424675817	0.444135119415893	0.277818260654465	0.781151872814595
ENSG00000167700.7	-0.00969177271680798	0.990355041153858	0.00833137964473881	-1.16328544971879	0.244713707114361	meno_status	0.100429263426159	1.10564542936832	0.444667965264826	0.22585225667504	0.821316332005988
ENSG00000060642.9	0.0506341206597912	1.05193794050475	0.0436162177325029	1.16090122647335	0.245682070034164	meno_status	0.165158664628999	1.1795802615291	0.449739059751183	0.367232200646243	0.713445822094195
ENSG00000166391.13	-0.0047953369540801	0.995216142317849	0.0128331545886353	-0.373667824303052	0.7086514665134	meno_status	0.0715539958645497	1.07417615020534	0.447206030291624	0.160002305465088	0.872879258117956
ENSG00000070087.12	0.0529560023791446	1.05438325374417	0.0213853004736888	2.47628049202762	0.0132759233092605	meno_status	0.251042947868679	1.28536528684532	0.452428013097663	0.554879319142618	0.578977208379623
ENSG00000153561.11	0.015002592749302	1.01511569655282	0.0253114259775994	0.592720171616539	0.553368439518225	meno_status	0.123456209844824	1.13140045925561	0.447427140590922	0.275924723032611	0.782605884527941
ENSG00000179262.8	0.0154001745811713	1.01551936835198	0.0125931079941866	1.22290498805224	0.221365584364317	meno_status	0.0883388718726394	1.09235822879385	0.444147119609362	0.198895519012564	0.842344474799607
ENSG00000127511.8	0.0813658954934124	1.08476773558738	0.110139269321172	0.738754633065026	0.460056004404211	meno_status	0.134200344937293	1.14362191555574	0.448257205425152	0.299382460143636	0.764648243581702
ENSG00000064601.15	0.0129506206600781	1.01303484313287	0.0046094090255634	2.80960543710811	0.00496022687864411	meno_status	-0.0177222464919909	0.98243386891937	0.445828818807967	-0.0397512357755958	0.96829145368835
ENSG00000227766.1	-0.0119735986946893	0.988097799589251	0.0141824222446681	-0.844256255252218	0.398526225039285	meno_status	0.0820630971454994	1.0855243011535	0.444331080739978	0.184689076912724	0.8534729141501
ENSG00000008517.15	-0.00227398355877034	0.997728599983161	0.00171354293013225	-1.32706541445964	0.184487044815864	meno_status	0.0864829028516263	1.09033272597803	0.444086269332482	0.194743474013779	0.845593776082759
ENSG00000070081.14	-0.00219675774535131	0.997805653361083	0.0223475789445606	-0.0982995854182225	0.921694407377067	meno_status	0.0888164595174809	1.09288005018547	0.445341520047517	0.199434491327025	0.84192288218015
ENSG00000161558.9	-0.260805241888559	0.770430952681867	0.110900682314693	-2.35170096743405	0.0186877916055744	meno_status	-0.0687416807347589	0.933567807483016	0.448513692646296	-0.153265511982863	0.878188896753131
ENSG00000179833.4	0.0755812827408846	1.07851088847644	0.0604291932340628	1.25074121787681	0.21102890722037	meno_status	0.116258223812286	1.12328589385218	0.44438878259318	0.261613767867575	0.793619228391376
ENSG00000064225.11	-0.0411041750976145	0.959729144862562	0.0666156121617438	-0.617035162835596	0.537211532895432	meno_status	0.0951356786380751	1.09980806546401	0.44445683852597	0.214049307810383	0.830508606058526
ENSG00000057294.12	0.0349668855489352	1.03558541538926	0.0606258651874884	0.576765138786859	0.564098122361398	meno_status	0.138221194267105	1.14822950397019	0.452160535365304	0.305690531252213	0.759840283391441
ENSG00000120662.14	0.0363741998301293	1.03704383552077	0.184585283423136	0.197059045854412	0.843781331643413	meno_status	0.0897742477077121	1.09392729923221	0.444386006479126	0.202018619845828	0.839902167751707
ENSG00000225630.1	-0.000597974286736744	0.999402204464256	0.000992539255722403	-0.602469155037619	0.546861889102454	meno_status	0.128481980655821	1.13710093129356	0.446609885032036	0.287682796466998	0.77358956000455
ENSG00000164283.11	0.00127337033899995	1.00127418141924	0.0296935862346339	0.0428836829926161	0.96579425587012	meno_status	0.0921646807462635	1.09654538712528	0.444304370070188	0.20743590870309	0.83566944133277
ENSG00000013392.7	0.146608383755379	1.1579004216138	0.210997884635113	0.694833429296767	0.487159695735837	meno_status	0.0731157781021977	1.07585509016487	0.44501747375318	0.164298667837816	0.869496030355404
ENSG00000184178.14	-0.0343439603450592	0.96623909953961	0.123435731507787	-0.278233538421512	0.780833090951273	meno_status	0.0815826996544872	1.08500294324233	0.445752994065353	0.183022213514344	0.854780589138301
ENSG00000166913.11	0.00975577137825384	1.00980351404506	0.00785175955664084	1.24249492204618	0.214054012881945	meno_status	0.092780610046863	1.09722098959897	0.443368102673584	0.209263159635031	0.834242809414205
ENSG00000130204.11	-0.00507502465401625	0.994937831525932	0.0136942551676451	-0.370595157742263	0.710939089213947	meno_status	0.106528639392678	1.11240978473013	0.446253801730721	0.238717606392426	0.811324563474036
