gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..
ENSG00000167578.15	0.431054225727172	1.53887899452693	0.177196002220168	2.4326408063743	0.0149891622242963	meno_status	3.97546577874149	53.2749254553713	1.37411677083751	2.89310622147381	0.0038145226944441	Interaction	-0.848787985875441	0.427933278941781	0.412927493579784	-2.05553759212558	0.0398271085979896
ENSG00000078237.5	0.0103012409960263	1.01035448143622	0.210814379331168	0.0488640339843428	0.961027651328134	meno_status	-0.693778289859109	0.499684544904211	1.4788672421039	-0.469128174664355	0.638978021295965	Interaction	0.455749541340485	1.57735523301172	0.306910443471892	1.4849593783283	0.137554585101676
ENSG00000146083.10	-0.06952714602024	0.932834810288206	0.0875006829492617	-0.794589752637201	0.42685218113866	meno_status	1.77171851318299	5.88095117440682	1.64404466441012	1.07765838212107	0.281186237677739	Interaction	-0.0592259063127585	0.942493829799945	0.143213106340648	-0.4135508811036	0.679203052055012
ENSG00000198242.12	0.00490962591276391	1.00492169787425	0.00214725567677933	2.28646544790039	0.0222270432726619	meno_status	1.96793664983515	7.15589612560809	1.32743003690665	1.48251628720192	0.138202973138603	Interaction	-0.00555385930399202	0.994461534860399	0.00927944057433318	-0.598512298182493	0.549498155467534
ENSG00000134108.11	-0.00802304385805832	0.992009054857818	0.0400212037298861	-0.200469828748981	0.841113152199032	meno_status	-1.46196864353163	0.231779534017037	2.61945993062037	-0.558118345862764	0.576763573824003	Interaction	0.0883354803013383	1.09235452398932	0.0827733190590449	1.06719751371001	0.285882655052152
ENSG00000167700.7	-0.0672443244178142	0.934966738224362	0.0519415431355707	-1.29461545342044	0.195452918748936	meno_status	2.2360927343789	9.35670065644083	1.84393876630364	1.21267190388398	0.22525528587597	Interaction	-0.11398643880251	0.892270056050806	0.169667390140757	-0.671822904259604	0.501696445605223
ENSG00000060642.9	-0.134129064397007	0.874477193447998	0.148416028661271	-0.903737053247318	0.366134846498355	meno_status	4.55735912739339	95.3313890528638	3.60099332452907	1.265583886632	0.205662097969565	Interaction	-0.595776098488449	0.551134665062237	0.630359391112179	-0.945137181881732	0.344588844957495
ENSG00000182141.8	-0.319314386467854	0.72664706538783	0.461701239141929	-0.691603919151916	0.489186099797877	meno_status	3.60876375555437	36.9203819733321	2.25591727573458	1.59968798252111	0.109667819157153	Interaction	-1.74680582164634	0.174329895851919	1.70209178202707	-1.02627005199803	0.304764309507561
ENSG00000070087.12	-0.00282496274219464	0.997179023710309	0.0213521477511566	-0.132303446712597	0.894744281260566	meno_status	-0.921089164842387	0.398085224447743	1.61798492088312	-0.569281674355559	0.569165001187652	Interaction	0.0608384829933471	1.06272725179977	0.0390662085459801	1.55731731482828	0.119395166478881
ENSG00000153561.11	0.0797421399383609	1.08300776721668	0.0713528474739668	1.11757473964098	0.263748662291492	meno_status	0.66524601545421	1.94496895490426	1.40574776505004	0.473232845887204	0.63604706657764	Interaction	0.0426256279475322	1.0435471468254	0.123100799106805	0.346266053972154	0.729142777441049
ENSG00000179262.8	0.0846380408759478	1.0883230669328	0.0440497850379949	1.92141779586311	0.0546790567748589	meno_status	2.99903352151458	20.0661340616177	2.35109827523946	1.27558832954744	0.202101081723892	Interaction	-0.0422176127139114	0.95866114101938	0.0489013000123721	-0.863322911726892	0.387959950407605
ENSG00000127511.8	-0.10088193381043	0.904039763115175	0.131151066395621	-0.769204068124897	0.441772175783125	meno_status	1.30959898216219	3.70468776840647	2.05508281118382	0.637248764397867	0.523962818514125	Interaction	-0.00466470368994549	0.995346159143116	0.258239907378828	-0.0180634501355461	0.985588235757787
ENSG00000064601.15	0.000981571468935672	1.00098205336787	0.00951524235714481	0.103157800095195	0.917837731814594	meno_status	0.875067290123113	2.39903672001209	1.70764685962728	0.512440429465673	0.608342801783369	Interaction	0.00472881503007431	1.00474001352077	0.0274314193049863	0.172386815917131	0.863133436395401
ENSG00000227766.1	-0.0150149948750504	0.985097168083366	0.0270461898206683	-0.555161188123295	0.578784413416002	meno_status	-0.0571404733998116	0.944461388345453	1.04743603207907	-0.054552709330032	0.95649481510296	Interaction	0.12347128687188	1.13141751753954	0.0670325759293469	1.84195945269984	0.0654810811145846
ENSG00000008517.15	-0.00388516735962859	0.996122370138438	0.00591502327252382	-0.656830443537862	0.511289946762599	meno_status	0.451527231268656	1.57070919082371	1.11070745277756	0.406522194606255	0.68435895262057	Interaction	0.00948985017905361	1.00953502158415	0.0125267688737532	0.757565679920642	0.448711032493744
ENSG00000088179.7	-0.434256982261972	0.647745774920569	0.499231814452534	-0.869850377500852	0.384382176558441	meno_status	-0.675419107369187	0.508943074110271	1.47016074889344	-0.459418541732639	0.645933635751478	Interaction	1.0554303080939	2.8732112539884	0.740962609570532	1.42440427419898	0.154329477660038
ENSG00000070081.14	0.106052416907244	1.11188015629811	0.104434811394795	1.01548914093725	0.309872720279651	meno_status	-0.505634810185235	0.603122585516723	1.73351505732921	-0.291681810346807	0.770529917993832	Interaction	0.173748281472837	1.18975604448521	0.175062087625824	0.99249519887027	0.320956020353084
ENSG00000275479.1	0.035210263377136	1.03583748459136	0.0844343306704451	0.417013590296166	0.676668467214607	meno_status	2.51170612431548	12.3259417200417	0.917786459891765	2.73669991232131	0.00620588752476577	Interaction	-0.480522600717793	0.61846009964514	0.376035008390737	-1.27786666133618	0.201296444906296
ENSG00000161558.9	-0.595610294127888	0.551226053169025	0.219843229817151	-2.70925010801229	0.00674354832864732	meno_status	1.87617153534496	6.52846296705171	1.49120416454173	1.25815872833318	0.208334357588881	Interaction	-0.505520592724131	0.603191476581381	0.686121937671828	-0.736779521202137	0.461256438789964
ENSG00000179833.4	0.0419871698408298	1.04288109833444	0.0899389403292453	0.466840833204446	0.640613759065499	meno_status	0.166914973181968	1.18165378877515	1.6084087738058	0.103776462737775	0.917346745611328	Interaction	0.102541500466841	1.10798328277917	0.1611977882812	0.636122254282812	0.524696741527007
ENSG00000064225.11	-0.200731945995377	0.818131705643905	0.396276543725018	-0.506545111422662	0.612474029444981	meno_status	2.24239541948071	9.41585922735834	1.29103931488052	1.73689166056747	0.0824062956987867	Interaction	-1.30285736297443	0.271754182266418	1.36208520400137	-0.956516787016737	0.338811207339592
ENSG00000057294.12	0.221015136325522	1.24734231060043	0.245543767066986	0.900104852855936	0.368064453729626	meno_status	0.755595427549868	2.12887873910187	1.11921317599703	0.675113055988428	0.49960393932923	Interaction	0.163577647386955	1.17771679826918	0.417092510499088	0.392185530234575	0.694921134701546
ENSG00000273055.1	-0.131049419230724	0.877174424034635	0.090991243477348	-1.44024209607981	0.149798917200972	meno_status	1.60769637941047	4.99129991282529	0.779513970405636	2.06243433786551	0.0391664029596491	Interaction	-0.176231974281127	0.838423468095388	0.240679305979288	-0.732227366054863	0.464029803763864
ENSG00000022567.8	-0.055983334691202	0.945554893723381	0.0981427441297328	-0.570427647888048	0.568387681857346	meno_status	3.16222952408891	23.6232057661389	2.0717329815273	1.52636925331839	0.126917930414211	Interaction	-0.497173714556765	0.608247313220763	0.531951051765568	-0.93462305019724	0.349982595739812
ENSG00000120662.14	-0.565578317450822	0.56803154919233	0.495390928366241	-1.14168081219423	0.25358671936524	meno_status	2.07665627249144	7.97774884860086	1.54365386491787	1.34528621971994	0.178532821960215	Interaction	-0.733972629262043	0.479998341995579	0.98743547008267	-0.743311995061908	0.457292811065845
ENSG00000225630.1	-0.000346594091125814	0.999653465965668	0.00251228339218427	-0.13795979076408	0.890272195926049	meno_status	1.57484144103798	4.82997572145501	0.864882454770509	1.82087338267933	0.0686261061289225	Interaction	-0.00476339516093257	0.995247931813708	0.00649244930911454	-0.733682302955433	0.463142386739606
ENSG00000164283.11	0.0456523558482586	1.04671046492705	0.0220774947141051	2.06782320364873	0.0386566509307103	meno_status	0.823968366437412	2.27952791439463	0.860170690893368	0.957912627296848	0.33810681851806	Interaction	-0.000901589363313799	0.999098816946259	0.0349690872764964	-0.0257824677031185	0.97943084594716
ENSG00000013392.7	-0.585363072953858	0.556903628456267	0.388036773868698	-1.50852473882264	0.131420279983471	meno_status	1.89011704612784	6.6201434978597	2.57217286784851	0.734832821601459	0.462441315397131	Interaction	-0.266033860593087	0.766413175856969	0.921291804899313	-0.288761779034994	0.772763682577818
ENSG00000184178.14	-0.229417174120519	0.794996812221184	0.244284434508366	-0.939139550918302	0.347659100141692	meno_status	-1.13936403451858	0.320022480363931	1.75910281771062	-0.647696099993403	0.517181527203134	Interaction	0.474350858815317	1.60697070796729	0.332793841993769	1.42535948373768	0.154053313566546
ENSG00000166913.11	0.0121877046611495	1.01226227738243	0.0157253108227072	0.7750374411392	0.4383175358362	meno_status	-3.98076774149088	0.0186712991026308	4.45892482875469	-0.892764039397956	0.37198354775096	Interaction	0.0576219064751533	1.05931440006831	0.0464848770795367	1.23958392697395	0.215129328679323
ENSG00000130204.11	0.0641995777644735	1.0663051883325	0.0483412897504409	1.32804850875721	0.184162082254853	meno_status	3.12861069359394	22.8422226412716	1.75923446720301	1.77839324542571	0.0753392912768463	Interaction	-0.122750389899867	0.884484411251582	0.109050904150822	-1.12562468744044	0.260324413926711
ENSG00000164182.9	0.0750846661443417	1.07797541504317	0.0420187018925738	1.78693445447947	0.0739480829914753	meno_status	1.79351887157965	6.01056570604807	1.33621015713351	1.34224310600002	0.17951718398805	Interaction	-0.0389013804041426	0.961845561289681	0.103021862648465	-0.377603155331051	0.705725420334129
ENSG00000109618.10	-0.828088955773237	0.436883392545834	0.333778191207885	-2.48095584908207	0.01310306017872	meno_status	0.870269388929094	2.38755394750026	1.26482236961149	0.688056607661369	0.491417134492216	Interaction	0.0306244864537956	1.0310982398231	0.529129967591242	0.0578770591905944	0.953846556597906
