gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	meno	meno_coef	meno_exp.coef.	meno_se.coef.	meno_z	meno_Pr...z..
ENSG00000167578.15	-0.0879004252407242	0.915852067932276	0.127026257032255	-0.691986265630137	0.488945954144622	meno_status	-0.130318975039816	0.877815385061715	0.402943173075751	-0.323417751553063	0.74637888752691
ENSG00000078237.5	0.0181837740969809	1.01835010556558	0.0286877555724501	0.633851402249238	0.526177803662273	meno_status	-0.0852037050715872	0.918325197846697	0.40226717997729	-0.211808741335541	0.832256248646779
ENSG00000146083.10	0.0498815361429849	1.05114656612349	0.0308447535416188	1.6171805709415	0.105839308970247	meno_status	-0.133457773370859	0.875064419218174	0.401601324039617	-0.332314077126135	0.73965211132543
ENSG00000198242.12	-0.00298301707901418	0.997021427695721	0.00236903570169758	-1.25916932230132	0.207969179688863	meno_status	-0.179336867653326	0.835824289800019	0.40483175847386	-0.442991104080847	0.657772169235839
ENSG00000134108.11	-0.00453685082009607	0.995473425141544	0.0123094215747045	-0.36856734433559	0.712450239926374	meno_status	-0.0527031769718038	0.948661555291611	0.421945345033245	-0.124905221949187	0.900598584232948
ENSG00000172137.17	0.00192280298826807	1.00192465275933	0.0170541173962961	0.112747141560411	0.910231025939845	meno_status	-0.101898565396478	0.903121154759202	0.401166027401911	-0.254005968691835	0.799490946947704
ENSG00000167700.7	-0.0232279943512628	0.977039698845093	0.0171200451254113	-1.35677179476504	0.174853732109388	meno_status	-0.132904604232445	0.875548611756848	0.401768796811011	-0.330798721272928	0.740796526837946
ENSG00000060642.9	0.0762391866444763	1.07922067846123	0.0760649726174175	1.0022903318185	0.316203390649216	meno_status	-0.138984073862404	0.870241887939937	0.403507823129667	-0.344439601652385	0.730515710951738
ENSG00000070087.12	0.0053936480890902	1.00540821999574	0.00308811530310119	1.74658248144871	0.080709788193389	meno_status	-0.11872007001642	0.888056359572948	0.40114951003293	-0.295949682218668	0.767268508637393
ENSG00000153561.11	0.0473479636245087	1.04848678087284	0.0269134078604258	1.75927046734689	0.0785315802558665	meno_status	-0.121503213150949	0.885588207815705	0.401180766054815	-0.302864004039386	0.761993504352118
ENSG00000179262.8	0.0213560275153826	1.02158569951771	0.00970218548652459	2.2011563832751	0.0277249548674017	meno_status	0.00927579241412037	1.00931894590097	0.404545111220658	0.0229289445276745	0.981706952067063
ENSG00000127511.8	-0.00661831632002885	0.993403536499227	0.06990071034795	-0.0946816747223934	0.924567674031349	meno_status	-0.104507496592497	0.900768044690607	0.402451520357873	-0.259677231432906	0.795112756976183
ENSG00000064601.15	-0.00342572037821431	0.996580140707117	0.0124155841884099	-0.275920997854638	0.782608745772137	meno_status	-0.0874546768409436	0.916260398525585	0.404381761845464	-0.216267609206284	0.828779155716396
ENSG00000227766.1	0.0116152050617629	1.01168292348991	0.00790486113808295	1.46937496546331	0.141731113695099	meno_status	-0.0988392020418826	0.90588836131164	0.40109953422759	-0.246420635297471	0.805356633990442
ENSG00000008517.15	-0.000974610186286992	0.999025864591967	0.00421847255510729	-0.231033904702553	0.817288462312511	meno_status	-0.101402001824208	0.903569723188156	0.401161341646198	-0.252771120487574	0.800445085639968
ENSG00000088179.7	0.405174813725859	1.49956462162355	0.214817737126042	1.88613295692677	0.0592770401577638	meno_status	-0.266740846159536	0.76587152429618	0.419731657033922	-0.635503283322701	0.52510022602041
ENSG00000070081.14	0.0648669364371355	1.06701703384936	0.0501983494651326	1.29221253543787	0.196283551725612	meno_status	-0.114221373150664	0.892060455788925	0.401246583896594	-0.284666281869455	0.77589982543745
ENSG00000275479.1	-0.25135327494505	0.777747564292517	0.132841868080174	-1.89212391076396	0.0584744732017116	meno_status	-0.173952876173761	0.840336496596445	0.402689635968505	-0.431977534647469	0.665757741073874
ENSG00000161558.9	-0.06025953457686	0.94152014483956	0.169571689561303	-0.355363178445392	0.722317530326593	meno_status	-0.0988972601573251	0.905835768667311	0.401279298072071	-0.246454927110551	0.805330091430049
ENSG00000179833.4	0.00453563533535081	1.00454593689812	0.0158060326354019	0.286955964217867	0.774146038273771	meno_status	-0.12144263363648	0.885641857944387	0.407203462652365	-0.298235758717398	0.765523231370271
ENSG00000057294.12	0.0405742943560538	1.04140867761557	0.0427866401134158	0.948293538555547	0.34298003937608	meno_status	-0.144720885179318	0.865263767350921	0.404000046014365	-0.358219972019934	0.720178702135877
ENSG00000167768.4	-0.000277507171889166	0.999722531329664	0.000217816974398991	-1.27403831889078	0.202649836292201	meno_status	-0.133812975291911	0.874753649851629	0.401688384781345	-0.333126324687608	0.739038928934919
ENSG00000022567.8	0.130755958421971	1.1396896157191	0.0751503436498067	1.73992495671452	0.0818721958291176	meno_status	-0.0285496941544762	0.971853997483436	0.404323542905382	-0.0706110110465599	0.943707346741674
ENSG00000120662.14	0.344897063775751	1.41184458223702	0.217964915487338	1.58235128348345	0.113569399450599	meno_status	-0.153586723348503	0.857626384741808	0.402993858886987	-0.381114302269241	0.703118435201243
ENSG00000225630.1	-0.00285725619327724	0.997146821878243	0.00209088043613959	-1.36653255915131	0.171771868666569	meno_status	-0.149358613401897	0.861260200061506	0.401911121911481	-0.371621000910724	0.710175050727314
ENSG00000164283.11	-0.00208137980714607	0.997920784761781	0.0472306264887068	-0.044068435290473	0.964849853319968	meno_status	-0.100979728810528	0.903951356869368	0.401312582477426	-0.251623630106859	0.80133199199075
