gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new
ENSG00000078237.5	0.173432856251387	1.18938082460142	0.0620513863283344	2.79498761451833	0.00519017035844377	age	0.0279919435556645	1.02838739924221	0.00649633703540399	4.30888105144682	1.64082581403985e-05	gender	0.804350340121239	2.23524387874932	0.439617262504012	1.82966049954396	0.0673007209721196	Interaction	-0.253474026097046	0.776099903006907	0.124479496656091	-2.03627129692963	0.0417231203939602	0.188411256188093
ENSG00000060642.9	-0.148763437846866	0.86177295365317	0.055703213424453	-2.67064373312367	0.00757059515921818	age	0.0247807379219513	1.0250903324451	0.00656622003005575	3.77397312434273	0.000160668077054557	gender	1.30096392724286	3.67283530786116	0.54459193502143	2.38887843095154	0.0168998934607373	Interaction	-0.228104920300415	0.796040734620766	0.0998424503382523	-2.28464865923891	0.0223334373015151	0.157441840066597
ENSG00000088179.7	-0.16502296081767	0.847874235978675	0.138528972291751	-1.19125232857514	0.233554542287922	age	0.0273560153454658	1.02773362658229	0.00645981836575815	4.23479636679463	2.28758906624124e-05	gender	0.829398220555471	2.29193908335276	0.446639214799145	1.85697581643935	0.0633145947991322	Interaction	-0.53591172799418	0.585135562401871	0.260676895043764	-2.05584667526521	0.0397972974061854	0.186608690674551
ENSG00000022567.8	-0.162979931333961	0.849608238747509	0.0554021673106205	-2.94176093184567	0.00326351767813874	age	0.0283743959748493	1.02878078371154	0.00659340279087039	4.30345253806398	1.681568842266e-05	gender	-0.728955607701567	0.482412555041905	0.314680519169999	-2.3164942323861	0.0205312989871641	Interaction	0.172101981022766	1.18779895999026	0.0677888362213573	2.5387953329186	0.011123487465933	0.133890756219733
ENSG00000184178.14	-0.0995959555533718	0.905203086437987	0.0660055035762464	-1.50890380585194	0.13132336711371	age	0.0272266438197876	1.02760067571525	0.00650584936439141	4.18494838949204	2.85230898924045e-05	gender	1.28685710657832	3.62138701793408	0.68451316610787	1.87995961260375	0.0601135824137806	Interaction	-0.254525902798759	0.775283970806	0.127404120635042	-1.99778391413152	0.0457400920232278	0.193185048286853
ENSG00000174013.7	0.232313708206459	1.26151541449827	0.0914953169667376	2.53907758241785	0.0111145173291376	age	0.0291620183393902	1.02959139365035	0.00648874140502476	4.494248810225	6.98159599529252e-06	gender	1.19730211376889	3.31117169703138	0.529790459762615	2.25995408506482	0.0238241006432618	Interaction	-0.515941445894146	0.596938344842084	0.211213419174251	-2.44274936654709	0.0145758559475507	0.140140732459257
ENSG00000203780.9	-0.0138727312314128	0.986223051669444	0.124294235281156	-0.111612024483938	0.91113103743946	age	0.0297235034038024	1.03016965616803	0.00642069426591962	4.62932856989807	3.66853283985383e-06	gender	-0.752950215097886	0.47097502347001	0.314960804426906	-2.39061560840223	0.0168201527104566	Interaction	0.448890214445894	1.56657266071066	0.173657428585894	2.58491800841025	0.00974021568796684	0.129775390736465
ENSG00000178075.18	-0.100431691400418	0.90444689180329	0.0670012232514677	-1.4989531015498	0.133885799066197	age	0.026051143052997	1.02639344002524	0.00662582366280466	3.93175918629409	8.43265148543901e-05	gender	0.818043176064662	2.26606121332454	0.298620627892891	2.73940612152914	0.00615502900851018	Interaction	-0.356624193124528	0.700035526471434	0.125707467846097	-2.8369372101357	0.0045548568613313	0.1041261518013
ENSG00000110395.4	-0.058220929081757	0.943441490748332	0.0567381288002318	-1.02613410616247	0.3048283758939	age	0.0269953357315826	1.02736301085547	0.00649009720475223	4.1594655488081	3.18993128759529e-05	gender	0.786480056303062	2.19565422893663	0.438389059853078	1.79402299995042	0.0728094978398693	Interaction	-0.204262224101881	0.81524856533314	0.102118559544182	-2.00024584182962	0.0454737239458095	0.193185048286853
ENSG00000079819.15	0.0221727334331614	1.0224203754	0.0233661935754925	0.948923638825673	0.342659450839279	age	0.0279561719955402	1.02835061287849	0.00646660532256916	4.32316039112054	1.53809828314813e-05	gender	0.859914844404685	2.36295946591806	0.383137619166878	2.24440201480227	0.0248065470030264	Interaction	-0.114580669437418	0.891739999352451	0.0448402489633998	-2.55530850265669	0.0106093720601606	0.133890756219733
ENSG00000197927.11	0.0974132515137349	1.1023158131874	0.0414411624445575	2.35063993786517	0.0187411591414214	age	0.0276159819362822	1.02800083772094	0.00647794404883527	4.26307818161035	2.01629932473786e-05	gender	-0.477397666900755	0.620395769369716	0.282953581373634	-1.68719429025485	0.0915659989490625	Interaction	0.314243843834989	1.36922357257069	0.132657478845951	2.36883624329922	0.0178441522030632	0.151317680949318
ENSG00000251359.4	-0.267034706127673	0.765646498379127	0.152633415300843	-1.74951668087452	0.0802017479606721	age	0.0284992505304119	1.02890923969805	0.00651596107657752	4.37376009394166	1.22124585303943e-05	gender	0.683007422444881	1.97982295183825	0.337219203188545	2.02541081879907	0.0428251974598642	Interaction	-0.760181623455473	0.467581495530435	0.320942525248453	-2.3685911453055	0.0178559801424928	0.151317680949318
ENSG00000146535.12	0.087288871902558	1.09121185463804	0.0169394501442618	5.15299322936566	2.5636122437415e-07	age	0.0294844829679885	1.02992345399269	0.00650589659713672	4.53196304733229	5.84380741430079e-06	gender	1.42241347066479	4.14711731780348	0.54862089375708	2.59270743577369	0.00952237368685039	Interaction	-0.141267797590133	0.868256763492253	0.0525145257380374	-2.690070901427	0.00714368396526501	0.118642303295121
