gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	p_adjusted_new
ENSG00000118363.10	-0.0872594073689528	0.916439333679529	0.0335149328171407	-2.60359786024471	0.00922509273249159	age	0.0151271969241372	1.01524219208732	0.00873646942549825	1.73150001303582	0.0833626225606702	gender	-0.294234061157881	0.745102071578014	0.295837598397882	-0.994579670573703	0.319940738997784	0.036386944489997
ENSG00000169992.8	0.167710448953513	1.18259413969807	0.0600408283548682	2.79327340326268	0.00521775709713419	age	0.0165322728189806	1.01666968705339	0.0084659770867678	1.95278969568915	0.0508445200362866	gender	-0.319687710813366	0.726375840978214	0.29668604856238	-1.07752862786249	0.281244168356933	0.0334044241669099
ENSG00000154511.10	-0.337826469559385	0.713319059729616	0.134563586787243	-2.51053407259067	0.0120548688050427	age	0.0180097149931474	1.01817286788418	0.00855555793987805	2.1050310359308	0.0352886065569439	gender	-0.336417640162467	0.714324712820828	0.295250008481152	-1.13943312616007	0.25452254591335	0.0389587179094988
ENSG00000144504.14	0.924213883605211	2.51988655739983	0.356667277433454	2.59124944193303	0.0095628149135759	age	0.016428582630539	1.0165642738472	0.0086534425035771	1.8985025466741	0.0576299126197867	gender	-0.258927180872834	0.771879228568962	0.300107959736188	-0.862780117863071	0.388258372621483	0.0366808428297262
ENSG00000127329.13	-0.2830258310726	0.75350032388676	0.0921370674338149	-3.07179117976494	0.00212778521939128	age	0.0155988964631028	1.01572119432496	0.0085224651235219	1.83032681706729	0.0672010836698982	gender	-0.425412405932516	0.65350022218046	0.29567357029522	-1.43879077696311	0.150209810313348	0.0289169499487766
ENSG00000182220.12	-0.0135047966203538	0.986585984027971	0.00623551442835018	-2.16578708549745	0.0303274606649309	age	0.0170738435879502	1.01722043475856	0.00863745358601518	1.97672189122894	0.0480730749240306	gender	-0.339074524365954	0.712429353764893	0.295579382529772	-1.14715215068088	0.251318743431563	0.0452999367409508
ENSG00000102007.9	0.00863014665895822	1.00866749373424	0.0038672979969821	2.23157012097151	0.0256433882513276	age	0.0161972732471678	1.01632916018491	0.00853433878187906	1.89789433735153	0.0577100024696798	gender	-0.274707019016489	0.759794696015884	0.295874959738834	-0.928456464375933	0.353170840748549	0.0440065761917878
ENSG00000173473.9	0.0768956254079881	1.07992935332434	0.0379536244019925	2.02604169218556	0.0427605123874529	age	0.0198020673703948	1.01999942887586	0.00852559451766228	2.32266117387724	0.0201973615986652	gender	-0.382991909111291	0.681818415780596	0.295921419353451	-1.29423517212129	0.19558420124318	0.0488325716040638
ENSG00000164104.10	0.0299940697462009	1.03044842311472	0.0110775861016592	2.70763589386214	0.0067764321608132	age	0.0176804790272905	1.01783770393365	0.00848553713377972	2.08360163281909	0.0371964183706561	gender	-0.29132729922719	0.747271056748723	0.297896046839801	-0.977949530776609	0.328099286093388	0.0334044241669099
ENSG00000095794.18	-0.459697954271236	0.631474350835105	0.185574467554023	-2.47716165014679	0.0132431906848732	age	0.0172477701458668	1.017397371794	0.00892060693254797	1.93347496154506	0.05317771463607	gender	-0.334588488070407	0.715632517085511	0.294145885726608	-1.13749164719369	0.255332814439374	0.0393358987002809
ENSG00000175745.10	0.050165470837017	1.05144506547728	0.0239787612252133	2.09207933495199	0.0364314194058514	age	0.0161366675520871	1.0162675667162	0.00854717704319067	1.88795288439039	0.0590322759248227	gender	-0.319073727330985	0.726821960687627	0.295965686644046	-1.07807675595425	0.280999503747461	0.0474868658607717
ENSG00000137500.8	-0.317508157568545	0.727960742360436	0.114979393234349	-2.76143532016563	0.00575479140692186	age	0.0140852243377361	1.01418488849095	0.00869842087181772	1.61928521800679	0.105385909684458	gender	-0.25572029138903	0.774358533253093	0.2984654681733	-0.856783509844929	0.391564540744376	0.0334044241669099
ENSG00000172197.10	0.139108975981711	1.14924933375412	0.057918433075553	2.40180834658022	0.0163142532532346	age	0.0198351797315057	1.02003320402447	0.00855446633662264	2.3186928267622	0.0204116977532112	gender	-0.323048670901724	0.72393861876508	0.295950147588533	-1.09156448656639	0.275024572887416	0.0407471482614393
ENSG00000161996.16	0.208112312859244	1.23135145838594	0.102369945462751	2.03294347690132	0.0420582338700559	age	0.0173824197063196	1.01753437312629	0.00853725987569331	2.03606543076071	0.0417437854496364	gender	-0.273234919889471	0.760914012795092	0.301331487779495	-0.906758606287489	0.364534463918697	0.0486959160311122
ENSG00000249115.7	0.295748117520369	1.34413155100139	0.107078030962538	2.76198688808386	0.0057450785583605	age	0.0148331184304911	1.01494367508866	0.00862359882529056	1.72006127963535	0.0854213031278135	gender	-0.24572656967608	0.782136055405255	0.304211862520321	-0.807748151700251	0.419235578018969	0.0334044241669099
ENSG00000118579.10	0.365680716015015	1.44149492292874	0.136605367850802	2.67691322653152	0.00743038760250076	age	0.0187869020908165	1.01896448627825	0.00859116099817407	2.1867710423317	0.0287592424250864	gender	-0.361234473679446	0.696815594394331	0.296964981470673	-1.2164211143364	0.223824544741266	0.0341757735810605
ENSG00000160949.15	0.303067784706122	1.35400624224691	0.154558742858513	1.96085824134555	0.0498955617628505	age	0.0170872933775507	1.01723411625139	0.00838887391392344	2.0368995353703	0.0416601107119372	gender	-0.305240356805234	0.736946223062912	0.297610865851316	-1.02563579435211	0.305063288766059	0.0499263569374898
