gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new
ENSG00000078237.5	0.0011294324886612	1.00113007053772	0.0325851185128106	0.0346609906671713	0.972350067161101	age	0.017205617725839	1.0173544869365	0.00833708923544388	2.06374398065597	0.0390419969932568	gender	-1.05914432476127	0.346752390858484	0.475986100927993	-2.22515809326435	0.026070626996293	Interaction	0.164447294829575	1.17874144214581	0.080310822079182	2.04763555610774	0.0405957226725061	0.0490151955829653
ENSG00000105048.15	-0.00626296310319843	0.993756608370429	0.00437478841687617	-1.43160365859945	0.152257282000889	age	0.0165171677802842	1.0166543303344	0.00828064075098289	1.99467266809318	0.0460785922412663	gender	-0.467888304017579	0.626323477566838	0.218240773068941	-2.14390875471182	0.0320401985872521	Interaction	0.0237274460905694	1.02401118160166	0.0117826131541384	2.01376772539084	0.0440339257256125	0.0491529087889078
ENSG00000156467.8	-0.0104312099862076	0.989623006406732	0.0142029037250033	-0.73444206819794	0.462679355518391	age	0.0157423769796917	1.01586694098228	0.00837910605318046	1.87876569168335	0.0602764935490174	gender	-1.14122099429433	0.319428762915876	0.451530352866912	-2.5274513375421	0.011489374492971	Interaction	0.0620022670640112	1.06396475680151	0.0266240470651776	2.32880699587952	0.0198692926321014	0.0490151955829653
ENSG00000011677.11	-0.0528221417097416	0.948548704731046	0.0440063493105695	-1.20033001003914	0.230011199124961	age	0.0179018125539728	1.01806301047528	0.00836289231311909	2.14062454515763	0.032304327777364	gender	-0.588196301208741	0.555328026434931	0.238426407919228	-2.4669930916713	0.0136252986270927	Interaction	0.149935251429129	1.16175901805685	0.0629399725981777	2.38219441858273	0.0172098087818597	0.0490151955829653
ENSG00000163221.8	-0.000943880649170283	0.999056564666051	0.00182447043244129	-0.517344996327123	0.604915348708796	age	0.0162983103341556	1.01643185231045	0.00830450381768962	1.96258689163802	0.0496941950891728	gender	-0.286206987606884	0.751107129988258	0.171499186984294	-1.66885332017985	0.0951464526013787	Interaction	0.00786232763481114	1.0078933168954	0.0035340103721459	2.22476076945893	0.026097302295577	0.0490151955829653
ENSG00000143319.15	-0.0377817987676346	0.962923028961221	0.0194047832208724	-1.9470353436876	0.0515304975261534	age	0.0141320062717544	1.0142323351313	0.00829771812156778	1.70311958838682	0.0885456908576294	gender	-1.06938267046348	0.343220332080785	0.430376029233401	-2.48476355053578	0.0129637508822041	Interaction	0.0633542280322408	1.06540416841919	0.0284402441462914	2.22762602551364	0.0259054636794468	0.0490151955829653
ENSG00000159082.16	0.0468420188315701	1.04795643861886	0.115429575333783	0.405806039709659	0.684885120573578	age	0.0161993930399738	1.01633131459444	0.00836555572636799	1.93643955881064	0.0528138884198747	gender	0.705470114692651	2.02479834866263	0.442611883917577	1.59387974052685	0.110962972912159	Interaction	-0.576621921493309	0.56179294541983	0.277169599044568	-2.08039382198114	0.0374894254616865	0.0490151955829653
ENSG00000254166.1	0.00221345665104918	1.00221590815465	0.0122597413407553	0.180546765998312	0.856723343605144	age	0.0184021229751441	1.01857248544602	0.00844874135024283	2.17809046487324	0.0293993023455535	gender	-0.367949762858396	0.69215195255098	0.191338737552788	-1.92302806825452	0.0544765249428837	Interaction	0.0398976107317974	1.0407042117944	0.0190751102331613	2.09160577549047	0.0364737954634917	0.0490151955829653
ENSG00000232187.1	-0.0639361124984826	0.938064928240888	0.0298697424058277	-2.14049761895531	0.0323145730214899	age	0.0163731768453234	1.01650795186569	0.00841663419498407	1.94533544716498	0.0517346185037382	gender	-0.737150778088474	0.478475257405038	0.263578263070649	-2.79670550029723	0.0051626567670606	Interaction	0.121970769190252	1.12972107863576	0.0452215082957739	2.69718489689674	0.00699284308250056	0.0490151955829653
ENSG00000211947.2	-8.78717871672438e-05	0.999912132073445	0.000398998825295463	-0.22023069141162	0.825691495058625	age	0.0158130158012285	1.0159387031604	0.00833378801221922	1.8974583680366	0.0577674684289867	gender	-0.403221377422674	0.668164166488569	0.193326941092946	-2.08569677429912	0.0370060988265359	Interaction	0.00119293047524588	1.00119364229983	0.000555160422536241	2.14880316899392	0.031650006097268	0.0490151955829653
ENSG00000143382.12	0.00728653465222079	1.00731314604151	0.00705262729341673	1.03316598893896	0.301526226290544	age	0.0154487480948065	1.01556869689389	0.00826822181649647	1.86844867465743	0.0616995578613362	gender	-0.58753215417931	0.55569696839634	0.235593646679046	-2.49383700478017	0.0126370559355963	Interaction	0.159038337776688	1.17238289237267	0.0575751458002662	2.76227416476561	0.00574002560979668	0.0490151955829653
ENSG00000155275.17	-0.302385178085031	0.739053342907361	0.122823069104971	-2.46195751570576	0.0138181033614336	age	0.0159026693719053	1.01602978977578	0.00813884434961321	1.95392228783207	0.0507104083142636	gender	-1.09765407106834	0.333652892278974	0.403839341947358	-2.718046403739	0.00656686275948114	Interaction	0.567515667451349	1.7638795403181	0.22439737103708	2.52906558053022	0.0114366655465363	0.0490151955829653
ENSG00000137868.17	0.022620435209086	1.02287821729847	0.0147201875797065	1.53669476605522	0.124368073427681	age	0.0166064167527917	1.01674506973792	0.00840729760061902	1.97523836334389	0.0482411042323294	gender	0.129179850190421	1.13789475635222	0.200661339682766	0.64377049607387	0.519724268452587	Interaction	-0.131804996660087	0.876511901163403	0.0589807282834306	-2.23471293922824	0.0254362005914971	0.0490151955829653
