gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new
ENSG00000010292.11	-0.0790663303593821	0.923978634577527	0.11179055355848	-0.707272017559347	0.479397451440195	age	0.0193628655566945	1.01955154164037	0.00647436630526023	2.99069664021988	0.00278341855288004	gender	0.243968900143155	1.27630463698073	0.153576726971014	1.58857989068358	0.112155271184725	Interaction	0.459719052067866	1.58362900519505	0.256569437358593	1.79179194841255	0.0731662990513534	0.0901340187600006
ENSG00000138750.13	-0.0489769887046786	0.952203040871781	0.0783076475869588	-0.625443238481795	0.531680191258372	age	0.0197499899185141	1.01994631128781	0.00651963206209512	3.02931050869262	0.00245112614708067	gender	0.216722280159678	1.24199912643761	0.150528306618674	1.43974435790798	0.149939738624928	Interaction	0.337410756198854	1.40131454417493	0.170253564870047	1.98181316471344	0.0475001554938015	0.0736419986071316
ENSG00000151849.13	-0.195064835612835	0.822781310796122	0.0871991610153368	-2.23700358285014	0.0252861058725302	age	0.0188501463833387	1.01902893200418	0.00646703649092167	2.91480439453222	0.00355911538002132	gender	0.227094923198096	1.25494898605786	0.154395124015932	1.47086849177091	0.141326685154819	Interaction	0.434160797604537	1.54366706612757	0.203042480096793	2.13827568200294	0.0324943750418303	0.0640993525847293
ENSG00000166887.14	-0.142310749642986	0.867351685376946	0.079696244916226	-1.78566442863874	0.0741536081543272	age	0.0191771697370389	1.01936223275864	0.00646262316840106	2.96739717562453	0.00300332719079414	gender	0.194559940100158	1.21477629451562	0.151365813383176	1.28536249864847	0.198665639526878	Interaction	0.291439172096876	1.33835222185513	0.160191663359012	1.8193154748866	0.0688633138121558	0.0868245328554933
ENSG00000054611.12	-0.111539788577178	0.894455801571545	0.0822323465786199	-1.35639797741316	0.174972576463674	age	0.0190741418406976	1.01925721542214	0.00651861477921166	2.9261035491047	0.0034323667057511	gender	0.205710682288672	1.22839775535182	0.151292960621709	1.35968442578785	0.173929808652423	Interaction	0.340436792979976	1.40556139585155	0.17194953206956	1.97986460842624	0.0477187441703295	0.0736649733320417
ENSG00000143842.13	-0.0968928894991525	0.907653220117863	0.0838067119948731	-1.15614712942181	0.247620981310133	age	0.0192295467299564	1.01941562528534	0.00648286775244732	2.96620993428365	0.0030149461146144	gender	0.266892886476925	1.3059005592292	0.153790548396007	1.73543100834573	0.082664491722677	Interaction	0.432011178237916	1.54035233348975	0.179825185345416	2.4023952896703	0.0162880969550941	0.0540012355937407
ENSG00000164609.8	-0.0484628688756383	0.952692713200707	0.0802295505874773	-0.6040526030717	0.545808669768162	age	0.020074785161268	1.02027763880147	0.00647807895879906	3.09887935743679	0.00194254103066568	gender	0.220734810517835	1.24699269736484	0.150360448721018	1.46803772132518	0.142093976833467	Interaction	0.395770837984058	1.48552885175556	0.16669321786369	2.37424679333799	0.0175847925452594	0.0553221629125511
ENSG00000133056.12	-0.351456139741438	0.703662712113676	0.0962204740816715	-3.6526128466497	0.000259585458105024	age	0.0187650831066558	1.01894225375081	0.00638916217686079	2.93701781035018	0.00331385071272674	gender	0.182125338876903	1.19976456159891	0.152236610557559	1.19633075256916	0.231567512491588	Interaction	0.355123061839578	1.426356173496	0.157441345756734	2.25558959835293	0.0240963452426141	0.0590582027424418
ENSG00000141219.14	0.00280199010286636	1.00280591934618	0.0838612113713847	0.03341223024382	0.973345856784697	age	0.019995221568679	1.02019646507637	0.00651663498981061	3.06833536018873	0.00215254903455327	gender	0.287988345853406	1.33374176041082	0.15490505144727	1.85912817666529	0.0630089722599959	Interaction	0.288468889254467	1.3343828352323	0.162281967110829	1.77757821395805	0.0754731545330476	0.091792215221004
ENSG00000077721.14	0.0823899465784958	1.08587916214573	0.0789775274283627	1.04320747003923	0.296852214517153	age	0.0189445244939052	1.0191251105679	0.0064581297489215	2.93343819812057	0.00335230386793653	gender	0.178305566412494	1.19519047550837	0.152522679070313	1.1690429744569	0.242386317484268	Interaction	0.319235258855992	1.37607502066352	0.156604873206723	2.03847589362428	0.0415023631689537	0.0691514042543891
