gene	coef	exp.coef.	se.coef.	z	Pr...z..
ENSG00000167578.15	-0.0523951399473947	0.94895382318663	0.0560540624076192	-0.934725115307126	0.349929980186379
ENSG00000078237.5	-0.0438135004612366	0.957132445588191	0.0377465293623646	-1.16072924322735	0.245752025560922
ENSG00000146083.10	0.0397340355867496	1.04053399237421	0.0325803490242191	1.21957059321902	0.222627699771733
ENSG00000198242.12	-0.00263210005411938	0.99737136088405	0.00213393215608697	-1.23345067302698	0.217407669327885
ENSG00000134108.11	-0.0103243897025907	0.989728723863234	0.0127801250064137	-0.807847317409605	0.419178482117273
ENSG00000172137.17	0.00526162589221007	1.00527549255546	0.00623403731728137	0.844015783740068	0.398660585671067
ENSG00000167700.7	0.00202842136823925	1.00203048000656	0.0206192767721607	0.0983750007652034	0.92163452487576
ENSG00000060642.9	0.0687081956557853	1.07112360501981	0.0771667410462172	0.890386126513159	0.373258589214553
ENSG00000182141.8	-0.254549183149739	0.775265922133142	0.112980378101147	-2.25303886770365	0.0242566983892608
ENSG00000102174.8	-0.27764749469338	0.757563819718983	0.156357003901113	-1.77572790323468	0.075777775956856
ENSG00000070087.12	-0.00243695595483399	0.997566011011717	0.00118484065515694	-2.05677948695237	0.0397074421271598
ENSG00000153561.11	-0.0153123184642415	0.984804318995278	0.0367480047883458	-0.416684349325481	0.676909303413115
ENSG00000179262.8	-0.00956076727219255	0.99048479155517	0.0107092032568753	-0.892761771614949	0.371984762452681
ENSG00000127511.8	0.0181458774257763	1.0183115142177	0.0275168621179283	0.659445737235917	0.509609580107239
ENSG00000064601.15	0.0144424500520538	1.01454724613007	0.0100350208708224	1.43920478472011	0.150092510160497
ENSG00000227766.1	-0.0146647999456223	0.985442204528104	0.0140616538883613	-1.04289296707554	0.296997867253169
ENSG00000008517.15	0.00712409214413583	1.00714952885719	0.0205351319482712	0.346922150881801	0.728649804935995
ENSG00000088179.7	-0.1077846384497	0.89782093171894	0.224168052965568	-0.480820692439418	0.630643942309332
ENSG00000070081.14	0.0605447629780198	1.06241515337211	0.0643528015583891	0.940825597516308	0.346794240880363
ENSG00000275479.1	-0.0868053322623201	0.916855560459651	0.0650331662484246	-1.3347855758818	0.181946535701932
ENSG00000161558.9	0.42782983288317	1.53392503515684	0.210384142981471	2.03356501502515	0.0419954722002232
ENSG00000179833.4	0.0810736868533871	1.08445080339004	0.0497071826261354	1.63102558966518	0.102884920066844
ENSG00000064225.11	-0.117527857516934	0.889115742844587	0.0789526053875312	-1.48858744990187	0.136596038425945
ENSG00000022567.8	0.334152266029556	1.39675580584429	0.204375531654782	1.63499154387025	0.102050820306247
ENSG00000120662.14	-0.0765979081442357	0.926262221233944	0.119394801921962	-0.641551448733097	0.52116446549927
ENSG00000225630.1	9.37562399896122e-05	1.00009376063524	0.00112756968640626	0.083148954002504	0.933733100916915
ENSG00000164283.11	0.0321846798950408	1.03270820813857	0.0221616351063645	1.45227009381622	0.14642651955627
ENSG00000013392.7	-0.0953134481481758	0.909087937874082	0.0767659652262741	-1.24161075637141	0.214380211188036
ENSG00000258477.1	0.0717639479871984	1.07440169944462	0.143817877808727	0.498991843577624	0.617785130118259
ENSG00000184178.14	0.121855060583916	1.12959036774653	0.0416271928693426	2.92729468850778	0.00341924732165923
ENSG00000166913.11	0.00553578627768793	1.00555113705568	0.00573887888961018	0.964611099863087	0.334739637687913
ENSG00000130204.11	0.00393441581804504	1.0039421657925	0.0182002306612873	0.216173953575969	0.828852155573361
ENSG00000164182.9	-0.00599116593174891	0.99402674531526	0.0160680632193209	-0.372861735106002	0.709251352568412
ENSG00000109618.10	-0.155317044632166	0.856143698686409	0.180183817098229	-0.861992198486356	0.388691810926862
ENSG00000153015.14	0.0144868513020655	1.01459229429609	0.0615610377353822	0.235325001575455	0.813956491465908
ENSG00000036448.8	-0.0982857353238278	0.906389879143811	0.144791169003716	-0.678810289329907	0.497258073446554
ENSG00000164114.17	0.0307591214522685	1.03123707107861	0.0917908465919859	0.335100095426662	0.737549580877941
ENSG00000149089.11	-0.119818835766886	0.887081129533364	0.102786684430796	-1.16570386943027	0.243734195179368
ENSG00000179632.8	0.000110061522370125	1.00011006757936	0.00917125335349244	0.0120007067876075	0.99042505116184
ENSG00000114861.17	0.116149753274732	1.12316405703542	0.175996502263812	0.659954895584389	0.509282774522214
ENSG00000138193.13	0.121844429278499	1.12957835879017	0.108655161029242	1.12138648660884	0.26212338574318
ENSG00000152942.17	0.109091197068964	1.11526405451671	0.0717701388865258	1.52000816441844	0.128508923693249
ENSG00000118363.10	-0.0111515250995414	0.988910422671942	0.0219928083481505	-0.507053256819711	0.612117451250865
ENSG00000136169.15	0.186618709021547	1.20516767787036	0.218964897385478	0.852276831811143	0.39406046178804
ENSG00000121644.17	-0.0106040079813741	0.989452016309053	0.0145966910368435	-0.726466563867699	0.467552797904224
ENSG00000138495.5	0.000623136749552608	1.00062333093959	0.0296270134675379	0.021032722391522	0.983219552750815
ENSG00000169992.8	0.00787415339974719	1.00790523607532	0.00799702646102565	0.984635156345012	0.324803314377538
ENSG00000127564.15	0.0869407100020721	1.09083200237378	0.0531646812037276	1.63530953320146	0.101984176117973
ENSG00000277998.1	-0.0352722958521865	0.965342521702044	0.0790191777148868	-0.446376397125446	0.655325379338662
ENSG00000176973.7	-0.00877199643015983	0.991266365278986	0.0202178264795518	-0.433874355338434	0.664379683086294
ENSG00000159479.15	-0.0121803474378026	0.987893532727799	0.036526280838985	-0.33346804432392	0.738781007309731
