gene	coef	exp.coef.	se.coef.	z	Pr...z..
ENSG00000167578.15	0.0760662068670464	1.07903401125377	0.128088665332144	0.593855878424533	0.552608511476673
ENSG00000078237.5	0.0133914715675786	1.01348153891868	0.00519938388975759	2.57558815650425	0.0100069760148914
ENSG00000146083.10	0.0313789686010099	1.03187647858378	0.0178577072751424	1.75716670217173	0.0788893990497735
ENSG00000198242.12	0.000329131031487455	1.00032918520105	0.00163589899289057	0.201192758793679	0.840547853375428
ENSG00000134108.11	-0.0173380608655803	0.982811378402923	0.0237889321857562	-0.728828882700402	0.466106341615655
ENSG00000167700.7	0.00102234090303485	1.00102286367163	0.0101787470099416	0.100438777192942	0.919995985650327
ENSG00000060642.9	-0.0227277632899708	0.977528566713823	0.0613264183140767	-0.370603141595079	0.71093314179172
ENSG00000182141.8	-0.151876152671596	0.859094670732746	0.178687695855658	-0.849953053254877	0.395351187737353
ENSG00000269416.4	-0.0621037462247303	0.939785382547832	0.0763844253814995	-0.813042003190509	0.416193976455733
ENSG00000166391.13	0.003415241054835	1.00342107963539	0.0283497096756363	0.120468290289761	0.904112197360943
ENSG00000070087.12	0.0116766593136419	1.01174509761752	0.00996269136636759	1.17203864741413	0.241181540119156
ENSG00000153561.11	-0.00780412057882071	0.992226252507084	0.0301633762656738	-0.25872835023783	0.795844843837668
ENSG00000179262.8	-0.000104668248913436	0.999895337228617	0.0101273011604645	-0.0103352558845633	0.991753805704351
ENSG00000127511.8	0.138391796614249	1.14842541132928	0.0630620688603644	2.19453308645302	0.0281971080365969
ENSG00000064601.15	-0.00226436792120235	0.997738193825895	0.00510845754505026	-0.443258635553577	0.65757867145685
ENSG00000227766.1	-0.0205375800221272	0.979671879691818	0.0161904362501002	-1.26850071887348	0.204619194165128
ENSG00000008517.15	-0.00319163668352024	0.996813451174535	0.00499148303504405	-0.63941651431298	0.522552008558297
ENSG00000088179.7	-0.259025605811229	0.771803260142097	0.229517737056922	-1.12856465531894	0.259081527794374
ENSG00000070081.14	-0.0566882009579797	0.944888638813299	0.0466071759681947	-1.21629770052286	0.223871537174327
ENSG00000161558.9	0.0728618868374301	1.07558197462762	0.150142450161338	0.485285052689198	0.627474156889213
ENSG00000276644.3	0.0450638914993758	1.04609469433213	0.0195973441271165	2.29948972713204	0.0214771460505353
ENSG00000179833.4	0.0878477889210607	1.09182192198702	0.0706362228212678	1.24366487069026	0.213622930162156
ENSG00000057294.12	-0.0328440178293971	0.967689490124629	0.0198782263054289	-1.65226098771333	0.0984813585078638
ENSG00000022567.8	-0.0409471264061362	0.959879880905075	0.0805093334791896	-0.508600986203922	0.611031937558541
ENSG00000120662.14	0.024992139104364	1.02530706066095	0.0708062436653318	0.352965187964076	0.72411453892139
ENSG00000225630.1	-0.000408408631424105	0.999591674756029	0.000706348652067696	-0.578196943150623	0.563131162356335
ENSG00000164283.11	0.0558188830111052	1.057406152174	0.0384045359383459	1.45344505921686	0.146100223498369
ENSG00000013392.7	-0.24829826676109	0.780127222553422	0.161779975182013	-1.53478986803983	0.124835452371484
ENSG00000184178.14	-0.0566654188795715	0.944910165585567	0.065858256258723	-0.860414807476262	0.389560426271212
ENSG00000166913.11	-4.85518491554861e-05	0.999951449329466	0.00202342250886347	-0.0239949140344184	0.980856665553061
ENSG00000130204.11	-0.00398500435238001	0.996022925240813	0.0121357181367731	-0.328369883633407	0.74263201105887
ENSG00000111863.11	-0.00200886997827061	0.99799314645055	0.0236335194338239	-0.0850008812227748	0.932260690132138
ENSG00000164182.9	-0.000407559751203983	0.99959252328999	0.0126196303525861	-0.0322956964520329	0.974236241150028
ENSG00000109618.10	-0.151364112639484	0.859534674235625	0.123537818663598	-1.22524514579344	0.22048286926899
ENSG00000153015.14	-0.0330473053645401	0.967492790907325	0.0619073750080237	-0.533818553286372	0.593467076162538
ENSG00000106038.11	0.0647653958909106	1.06690869385745	0.0371171912107671	1.74488946437637	0.0810041116380417
ENSG00000149089.11	0.0228722404891332	1.02313581586541	0.0418520654413032	0.546502072190705	0.584720863701851
ENSG00000179632.8	-0.00360615177771275	0.996400342578719	0.00600348448716112	-0.600676454719716	0.548055504299784
ENSG00000114861.17	-0.057427286832374	0.944190542975641	0.0607926664935685	-0.944641683688106	0.344841838593523
ENSG00000138193.13	0.0181696431187969	1.01833571538413	0.134158402082676	0.135434254111045	0.892268542754585
ENSG00000152942.17	0.0117214044403479	1.01179036929295	0.0851068996344724	0.137725666082192	0.890457234097926
ENSG00000118363.10	-0.0553109552491394	0.946190879183076	0.0350295754354451	-1.57897875042963	0.114340931180594
ENSG00000136169.15	0.0327418731495618	1.03328378652534	0.0857132723130806	0.38199303638726	0.702466529847669
ENSG00000121644.17	-0.026375396243456	0.973969396520443	0.0334464725878553	-0.788585288752784	0.430354431976508
ENSG00000138495.5	0.0650837015623555	1.06724835100015	0.0290926861301326	2.23711558538232	0.0252787865897834
ENSG00000169992.8	0.148426205734567	1.1600071927372	0.0640225315326905	2.31834327979954	0.0204306720186707
ENSG00000127564.15	-0.0314991649870664	0.968991765574059	0.0369936582767867	-0.851474724434918	0.394505697999586
ENSG00000277998.1	-0.0466276898144966	0.954442680179914	0.0588488090746499	-0.792330219552095	0.428168155547072
ENSG00000176973.7	0.0261263613498345	1.02647064649532	0.0378651449038941	0.689984454467191	0.49020396341633
ENSG00000159479.15	-0.0481769978113146	0.952965099412416	0.0377509607334371	-1.27617938392341	0.20189211461446
ENSG00000112511.16	0.0258197805677086	1.02615599855666	0.0225286326462535	1.14608733575326	0.251759017110271
