gene	coef	exp.coef.	se.coef.	z	Pr...z..
ENSG00000167578.15	-0.0501934675957977	0.951045410231877	0.0641423994456465	-0.782531804697002	0.433902101553838
ENSG00000078237.5	0.0809939933578604	1.0843643831584	0.0473379995608195	1.71097203323516	0.0870862756778903
ENSG00000146083.10	-0.00356957966799216	0.996436783707734	0.020227534096751	-0.17647132126528	0.85992367740143
ENSG00000198242.12	0.00207743261178446	1.00207959196996	0.00164592652542919	1.26216606858727	0.206889035568048
ENSG00000134108.11	0.00188423195296344	1.00188600823346	0.0112315704284413	0.167762109935407	0.866770431856136
ENSG00000167700.7	0.00306933294841881	1.00307404817376	0.00994790734221615	0.308540564646537	0.757671038626348
ENSG00000060642.9	0.0214754016459922	1.02170765770162	0.0383603959351498	0.559832637866864	0.575593599348576
ENSG00000182141.8	-0.126427458634761	0.881238073437872	0.114607270788351	-1.10313645692025	0.269967910882102
ENSG00000070087.12	0.0022255883625617	1.00222806682268	0.003225867518507	0.689919331712589	0.490244918086976
ENSG00000153561.11	-0.0256381548247236	0.974687711853508	0.0291811082315625	-0.878587427909718	0.379625014884064
ENSG00000179262.8	0.0122416514574815	1.01231688716234	0.00670940544171543	1.82455085831743	0.0680688349115369
ENSG00000127511.8	-0.0637239115213539	0.938264007656947	0.0395454216459049	-1.611410597463	0.107090258945132
ENSG00000064601.15	-0.00222391032382807	0.997778560732594	0.00507224456304805	-0.438446982629651	0.661062294786625
ENSG00000227766.1	0.00356541085533958	1.00357177449337	0.00788568718794549	0.452136988237356	0.65117029864565
ENSG00000008517.15	0.00474612442194009	1.00475740510991	0.00401637387804809	1.18169387762442	0.237327188494356
ENSG00000088179.7	-0.0402351328727491	0.960563552529114	0.113104174317906	-0.355735171715757	0.722038902538558
ENSG00000070081.14	-0.00958413542772676	0.990461646022942	0.0184218697816959	-0.520258559055151	0.602883375420546
ENSG00000275479.1	-0.105368816813463	0.899992528990936	0.0698514935320578	-1.50846906036598	0.131434519493498
ENSG00000161558.9	0.207033561620188	1.23002385268139	0.137951144827049	1.50077450882882	0.133413894009376
ENSG00000196167.8	-0.0596401421170145	0.942103495961059	0.0401123876101481	-1.48682603231342	0.137060764127427
ENSG00000179833.4	0.00910745300353938	1.00914905204485	0.0294199609828252	0.309567133989611	0.756890152562806
ENSG00000064225.11	-0.182597298553162	0.833103580211715	0.109322556212056	-1.67026188263448	0.0948675612092602
ENSG00000057294.12	0.0644891523989248	1.06661400797863	0.0146724243905366	4.39526220632759	1.10639121440571e-05
ENSG00000022567.8	0.018056452984296	1.01822045635075	0.0166093964046846	1.0871227673995	0.276982557202182
ENSG00000120662.14	-0.0555518322850232	0.945962990976338	0.112134874387994	-0.495401921910664	0.620316438346828
ENSG00000225630.1	-0.000710472403899606	0.999289779921858	0.000825032806760179	-0.861144427322302	0.389158502877965
ENSG00000164283.11	0.00517752101847183	1.00519094754246	0.00999762562119784	0.517875065004835	0.604545440405646
ENSG00000013392.7	-0.261204414061823	0.770123479455595	0.12458371922911	-2.09661756510469	0.0360274431033583
ENSG00000184178.14	-0.0617092852464073	0.94015616433391	0.0610083100333516	-1.01148983167494	0.311782045434992
ENSG00000166913.11	0.00379198215128895	1.00379918081179	0.004803922316595	0.78935126369335	0.429906732309159
ENSG00000130204.11	0.00789224832595928	1.0079234742112	0.00529607530974752	1.49020696730529	0.136169824990606
ENSG00000164182.9	-0.000574058095175663	0.999426106644648	0.0169839736968868	-0.0337999872951339	0.973036646078088
ENSG00000109618.10	-0.279744712020281	0.755976708590233	0.117179958994884	-2.38730849899422	0.0169722424504955
ENSG00000153015.14	0.0322448847892006	1.03277038409857	0.0486996146834496	0.662117862713992	0.50789568880411
ENSG00000164114.17	-0.168379989491566	0.845032670134265	0.0985562063361224	-1.70846662783784	0.0875497935259557
ENSG00000149089.11	0.0080592446169652	1.00809180774816	0.0746701999534291	0.107931204442892	0.914050264133989
ENSG00000179632.8	0.0024724631185647	1.00247552217612	0.00482174698492951	0.512773301106933	0.608109907950041
ENSG00000114861.17	0.0157314856740264	1.01585587692516	0.0424479266344715	0.370606692041609	0.71093049695846
ENSG00000138193.13	0.0256745930727929	1.02600702435269	0.0771984404665571	0.332579167631182	0.739451970836912
ENSG00000152942.17	-0.0470239638840734	0.954064534224528	0.0440030180946635	-1.06865314972057	0.285225989649969
ENSG00000118363.10	-0.0119450815335538	0.988125977735198	0.0158624925637042	-0.753039377990695	0.451426251405648
