gene	coef	exp.coef.	se.coef.	z	Pr...z..
ENSG00000167578.15	-0.0343624731830261	0.9662212118773	0.0534153019128004	-0.643307665640873	0.520024483222853
ENSG00000078237.5	-0.0394153669587824	0.961351312633002	0.045464934540993	-0.866939925388961	0.385974926308466
ENSG00000146083.10	-0.0109451941659436	0.989114486534316	0.0314082846281359	-0.348481118772682	0.727478891289168
ENSG00000198242.12	-0.00284932250014646	0.997154732966517	0.00176219667327153	-1.61691515105217	0.105896597465335
ENSG00000134108.11	0.0112680891387324	1.01133181317962	0.0117103563601387	0.962232812750964	0.335932669997358
ENSG00000167700.7	-0.0064579849892861	0.993562822979163	0.0170184242017488	-0.379470209035128	0.704338722666118
ENSG00000060642.9	0.0968525444308059	1.10169791015081	0.0702146260676421	1.37937848358691	0.167778089680371
ENSG00000182141.8	-0.127295744074984	0.880473239344541	0.15553137802536	-0.818456993637825	0.413096289366204
ENSG00000070087.12	-0.000805166092954925	0.999195157966284	0.00406387530182885	-0.198127657261673	0.842945186370204
ENSG00000153561.11	-0.00551996320095557	0.994495243802349	0.0271617673836693	-0.203225479512589	0.838958798582466
ENSG00000179262.8	0.0191992589387857	1.01938474990534	0.00958488209658666	2.00307721527663	0.0451690011783544
ENSG00000127511.8	0.00891423512696771	1.00895408524401	0.0593109146102803	0.150296706525962	0.880530531288381
ENSG00000064601.15	0.00325089845153838	1.00325618835267	0.00641494364617023	0.506769604044642	0.612316486096455
ENSG00000227766.1	-6.72199332750359e-06	0.999993278029265	0.0117735887757628	-0.00057093834815613	0.999544457131585
ENSG00000008517.15	-0.0185252568811973	0.981645280980449	0.00793915755889723	-2.33340335467161	0.0196269853737308
ENSG00000088179.7	0.468868894228239	1.59818545368133	0.287213917060727	1.63247275419841	0.102579933559014
ENSG00000070081.14	0.0202600613775415	1.02046668949469	0.0513712753097601	0.394385018775119	0.693296802667742
ENSG00000275479.1	0.0285922960237977	1.02900497951992	0.0813087315197995	0.35165099109725	0.725100019185104
ENSG00000161558.9	0.0271080223690956	1.02747878746178	0.144612753960183	0.187452500742496	0.851305862407248
ENSG00000179833.4	0.0156044699371475	1.01572685543645	0.029408809623288	0.530605289266476	0.595692329622181
ENSG00000057294.12	-0.0144108049864393	0.985692533670445	0.0207167847244023	-0.695610114124747	0.486673030434907
ENSG00000022567.8	-0.036354332391537	0.964298550729799	0.0788560425995286	-0.461021517097465	0.644783167734843
ENSG00000120662.14	-0.00604591812832804	0.993972321657416	0.124021042936224	-0.048749131479543	0.961119221134269
ENSG00000225630.1	-0.000460257366574888	0.999539848535599	0.000442590477972478	-1.03991701015201	0.29837845891209
ENSG00000164283.11	-0.00391350201009605	0.996094145759123	0.0345203884804503	-0.113367843826913	0.909738932233642
ENSG00000013392.7	0.279247302675838	1.3221342707859	0.194853493697392	1.43311416889198	0.151825212899127
ENSG00000184178.14	-0.0950865044571932	0.909294273058479	0.066635414184176	-1.42696651054618	0.153589547916846
ENSG00000166913.11	-0.000198088098956807	0.999801931519195	0.00261436383892141	-0.0757691397072454	0.939602768470644
ENSG00000130204.11	-0.00370330812846804	0.996303540660079	0.010627391342407	-0.34846821850726	0.727488577847994
ENSG00000164182.9	0.0336931174961135	1.03426715952551	0.0231353816357086	1.45634587000326	0.145297031175399
ENSG00000109618.10	-0.220690477108104	0.801964868363524	0.221807487816875	-0.994964053198723	0.319753747790756
ENSG00000153015.14	0.121092372797607	1.12872917142322	0.0783866565210988	1.54480849384121	0.122392592178849
ENSG00000149089.11	-0.00901841481478663	0.991022129115895	0.0728851083600894	-0.123734669779608	0.90152536007195
ENSG00000179632.8	-0.0113397521186254	0.988724300528099	0.00720172151423897	-1.57458908904001	0.115351322971851
ENSG00000114861.17	-0.0785724290055332	0.924435101591631	0.0601735253897801	-1.30576409636252	0.191632793234832
ENSG00000138193.13	-0.0537666415405184	0.947653223597404	0.0639242680889978	-0.841099055927592	0.400292443955781
ENSG00000152942.17	-0.0497437982921683	0.951473162325501	0.0790312106182171	-0.629419667281449	0.529074345567768
ENSG00000118363.10	-0.0188722674332238	0.981304698805823	0.0287636784186648	-0.656114533006931	0.511750434291475
ENSG00000136169.15	-0.061477033085701	0.940374542992955	0.17384896635704	-0.353623230404736	0.723621262523784
ENSG00000121644.17	0.0216655398501389	1.02190194183065	0.0376453829543174	0.575516521546082	0.564942020236731
ENSG00000138495.5	-0.0125313970720253	0.987546793929309	0.0196510017660948	-0.637697620772012	0.523670534621813
ENSG00000169992.8	0.0175781643233223	1.01773356949762	0.0257567253604663	0.682468911607171	0.494942494213944
ENSG00000127564.15	-0.0329739338275504	0.967563779944676	0.0359389065263725	-0.917499640768247	0.358880881076887
ENSG00000176973.7	0.00351918117448568	1.00352538076291	0.0144221513362109	0.244012220676798	0.807221355223839
ENSG00000159479.15	0.000784452698451326	1.00078476046194	0.0171934686095808	0.0456250403140995	0.96360911066641
ENSG00000112511.16	-0.0328486264704133	0.967685030401431	0.0242070104914621	-1.35698815357638	0.174784974651438
ENSG00000211950.2	-0.0047519776680729	0.995259295114733	0.00349344258237752	-1.36025641069471	0.173748796984273
ENSG00000154511.10	0.0393618217773984	1.04014676332362	0.043847535190192	0.897697478470877	0.36934685413062
ENSG00000144504.14	-0.489566638932633	0.612891940146982	0.340444933034496	-1.43802004796772	0.150428365908611
ENSG00000142507.8	0.00295678865617337	1.00296116426727	0.00502742901141372	0.588131358883556	0.556444125963156
ENSG00000164116.15	0.174879754670452	1.1911029834302	0.0970418482254221	1.80210659492199	0.0715286363184876
