gene	coef	exp.coef.	se.coef.	z	Pr...z..
ENSG00000167578.15	-0.0644868675746292	0.937548426465947	0.0750921972956191	-0.858769218335171	0.390467853290268
ENSG00000078237.5	0.274209601065727	1.31549050155536	0.145001057294017	1.891086907799	0.058612743896197
ENSG00000146083.10	0.0263735648141243	1.02672442496129	0.029591367820378	0.891258727011673	0.372790385178781
ENSG00000198242.12	0.00112733715608592	1.00112797283947	0.00149506007554025	0.754041375680873	0.450824377444849
ENSG00000134108.11	0.0382404227827859	1.03898099755543	0.0209558836360578	1.82480602807831	0.06803030588105
ENSG00000167700.7	-0.00963010550391983	0.990416115472137	0.00829139026071334	-1.16145847693959	0.245455499991377
ENSG00000060642.9	0.0482597471005422	1.04944320975624	0.0430572133012913	1.12082839088648	0.262360916756939
ENSG00000166391.13	-0.00502633493765539	0.994986275946108	0.0127512621146041	-0.394183328087868	0.693445693581267
ENSG00000070087.12	0.0508724604536208	1.05218868905711	0.0210316874532179	2.41884825298872	0.0155697338706815
ENSG00000153561.11	0.0141798590525579	1.01428087013018	0.0251215805888507	0.564449318879686	0.57244838245746
ENSG00000179262.8	0.0154106461124701	1.01553000245051	0.0125873412870601	1.2242971538646	0.220840150227073
ENSG00000127511.8	0.0771000281943715	1.08015011645478	0.109024986396304	0.707177599767033	0.47945611711007
ENSG00000064601.15	0.0129316724172606	1.01301564808453	0.00458493304278543	2.82047137800824	0.00479531511220765
ENSG00000227766.1	-0.0120157562155429	0.988056144713699	0.0141647628802946	-0.848285023694871	0.396279256055574
ENSG00000008517.15	-0.0022742340677659	0.997728350043203	0.00171210620755264	-1.32832534438199	0.184070650548813
ENSG00000070081.14	-0.00249943993193862	0.997503681067257	0.0223252933688683	-0.11195552464381	0.910858670986402
ENSG00000161558.9	-0.258555073610939	0.772166503880518	0.109801702208195	-2.35474558600824	0.0185353911832778
ENSG00000179833.4	0.0747621535715728	1.07762781047512	0.060270456233401	1.24044446058367	0.214811044784093
ENSG00000064225.11	-0.0408840230523663	0.959940454455954	0.0665053739681579	-0.614747660421264	0.538721379365467
ENSG00000057294.12	0.0316695953094447	1.03217641303063	0.059675920393188	0.530693034992717	0.59563151334087
ENSG00000120662.14	0.0373261669941946	1.0380315372551	0.184842723731747	0.201934738033639	0.839967744433219
ENSG00000225630.1	-0.000568940339039768	0.999431221476826	0.000996295055496066	-0.571056070088079	0.567961635681209
ENSG00000164283.11	0.00119939325391983	1.00120011281366	0.0297812346059906	0.0402734564160267	0.967875115316508
ENSG00000013392.7	0.148855902440114	1.1605057511131	0.210745313365884	0.706330784123671	0.47998245369378
ENSG00000184178.14	-0.0361227383168085	0.964521902422884	0.122981639290853	-0.29372464479334	0.768968320742185
ENSG00000166913.11	0.00975011394048876	1.00979780116068	0.00784871229359458	1.24225650982849	0.214141935854692
ENSG00000130204.11	-0.00479247160412613	0.995218993964462	0.0135931695838533	-0.35256468879921	0.724414813936544
ENSG00000164182.9	0.0323469567803588	1.03287580640833	0.0211146399445593	1.53196819198869	0.125530284171938
ENSG00000109618.10	-0.0190048946605173	0.981174559714675	0.0530863099686552	-0.357999918844213	0.720343374282006
ENSG00000153015.14	0.133147883355449	1.14241893058424	0.0846852105731263	1.57226843334675	0.115888310568282
ENSG00000149089.11	0.118647149055468	1.12597254770921	0.0947263523979234	1.2525252588325	0.210378530274892
ENSG00000179632.8	-0.00262543076849304	0.997378012660713	0.00532509028001515	-0.49303028313833	0.621991189976609
ENSG00000114861.17	0.0270441737585372	1.02741318646311	0.0719083898825367	0.376092049936234	0.706848464429273
ENSG00000152942.17	0.109070884791774	1.11524140119416	0.0900174858143982	1.2116633096892	0.225641289310695
ENSG00000118363.10	0.0114352816532862	1.01150091442435	0.0260869716455073	0.438352209243711	0.661130984549424
ENSG00000136169.15	-0.254672700996789	0.775170168869288	0.195866871210787	-1.30023367107711	0.193520893567971
ENSG00000121644.17	0.0171194242525752	1.01726680139875	0.0415538038001771	0.411982121658433	0.680352527397852
ENSG00000138495.5	-0.02913654780283	0.971283828738514	0.022508656328175	-1.29445966822811	0.195506691829784
ENSG00000101323.4	-0.00174828591478402	0.998253241446818	0.00214765386248238	-0.814044546621329	0.415619431823055
ENSG00000176973.7	0.0111646248941569	1.01122718191045	0.029826650286023	0.374317088479383	0.708168419908841
ENSG00000159479.15	0.0659431669485623	1.06816600830718	0.0229776496401911	2.86988303769845	0.00410623657364091
ENSG00000112511.16	0.00206187023770286	1.00206399735384	0.0226499014677419	0.0910321945832471	0.927467009673567
ENSG00000154511.10	-0.00553005105141352	0.99448521153365	0.0465427794376412	-0.118816519301835	0.905420720885533
ENSG00000142507.8	-0.00501349619894148	0.994999050396933	0.00440778095558818	-1.137419542726	0.25536294144721
ENSG00000174013.7	0.262423096694125	1.30007648414447	0.149288527584442	1.75782493765765	0.0787773008069126
ENSG00000196704.10	0.0453034616126091	1.0463453373786	0.0356082887015514	1.27227292477651	0.203276165013973
ENSG00000178821.11	0.0396558751216483	1.04045266693167	0.0472642971224543	0.839023904637919	0.401455895447189
ENSG00000106069.19	0.096928761909865	1.10178188198823	0.0659014591228296	1.47081359350793	0.141341535211311
ENSG00000143033.16	0.0464750576526357	1.04757194983921	0.0978578924634425	0.474923958432864	0.634841174010138
ENSG00000259956.1	0.0988939494586058	1.10394921893842	0.0557782544172487	1.772983943148	0.0762313675838901
ENSG00000205362.9	-0.00258837430778443	0.99741497264465	0.00368241085862094	-0.702902095165388	0.482116765375575
