gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..
hsa-let-7a-1	2.44467918943053e-05	1.00002444709072	3.5052148694042e-05	0.697440607926572	0.485527095829046	age	0.0222354460165414	1.0224844960336	0.0086308836539953	2.57626529425506	0.00998739845058447	gender	-0.0096437305881259	0.990402621061096	0.205750801368674	-0.0468709260132884	0.962616100297708
hsa-let-7a-2	2.54224822697527e-05	1.00002542280542	3.50853576389078e-05	0.724589514845376	0.468703893274033	age	0.0222460548813904	1.02249534349097	0.00862963293597966	2.57786803290782	0.00994119557400075	gender	-0.00934158541098943	0.9907019116488	0.205756231483569	-0.0454012271882779	0.963787502843099
hsa-let-7a-3	2.52943983762857e-05	1.00002529471828	3.49928661680355e-05	0.722844429342319	0.469775467720675	age	0.0222517091776456	1.02250112499891	0.00862983538530159	2.57846276135752	0.00992409956170219	gender	-0.00910754942927327	0.990933798677177	0.205779220972585	-0.0442588390908849	0.964698081149982
hsa-let-7b	-6.71316191122079e-06	0.999993286860622	2.27482173928845e-05	-0.295107163575842	0.76791201755567	age	0.0217942475794785	1.0220334769738	0.00867683606590114	2.51177357898083	0.0120126134654996	gender	-0.0148820140422066	0.985228175835777	0.205462074300792	-0.0724319273659222	0.942258177151143
hsa-let-7c	0.000260299556745566	1.00026033343761	0.000183232074509164	1.42060039129529	0.155432964678727	age	0.0219265363806465	1.02216868950058	0.00863021873168233	2.54066983263729	0.0110640344866847	gender	-0.0115020011001361	0.988563894030591	0.205536125460298	-0.0559609707265689	0.955372899260863
hsa-let-7d	-0.000107257768417243	0.999892747983492	0.000342320426762031	-0.313325644723518	0.75403326865918	age	0.0218914654302964	1.02213284170183	0.00865251757513994	2.53006887766331	0.0114040137238562	gender	-0.0165091707629173	0.983626358745174	0.205257872055785	-0.0804313646905122	0.935894182288864
hsa-let-7e	0.000328726133894509	1.00032878017025	0.000232842426953485	1.41179654496635	0.158009876086993	age	0.0218922356191283	1.02213362893743	0.00860491409917873	2.5441550452221	0.010954244950118	gender	-0.035331574413298	0.965285299282425	0.205772254164238	-0.171702324770656	0.863671558057145
hsa-let-7f-1	5.46365335521863e-06	1.00000546366828	3.59658842435217e-05	0.151912109771158	0.87925625693376	age	0.0219751467234743	1.0222183786787	0.00867175804235613	2.53410515101314	0.0112734897257075	gender	-0.0140214198615425	0.986076422416211	0.206933499501858	-0.0677580956940065	0.945978201851219
hsa-let-7f-2	5.31626426850605e-06	1.0000053162784	3.54880948440965e-05	0.149804160856226	0.88091912651677	age	0.0219738874538394	1.02221709143094	0.00867174180270968	2.53396468134847	0.0112780098239526	gender	-0.0141191827774828	0.985980025421918	0.206896869813183	-0.0682426118395685	0.945592506671167
hsa-let-7g	0.000286299753696328	1.00028634074138	0.000340885110233548	0.839871690201363	0.400980332113625	age	0.0214321363135805	1.02166345413643	0.00868982281792156	2.46634905712688	0.013649824485488	gender	-0.0198757943690565	0.980320427062518	0.205367575431705	-0.0967815602208646	0.922899867993816
