gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..
hsa-let-7a-1	-7.89289951652907e-06	0.999992107131632	2.5764764239648e-05	-0.306344721151499	0.759342192330995	age	0.0153293729147946	1.01544747043374	0.00875100943834531	1.75172624630299	0.0798208915422944	gender	-0.13086850939385	0.877333127871707	0.16710501593121	-0.783151293601641	0.433538272914278
hsa-let-7a-2	-7.84795527062861e-06	0.999992152075524	2.58044874994567e-05	-0.304131413995098	0.761027774779989	age	0.0153174057905302	1.01543531852039	0.00875039081103361	1.7504824780187	0.0800350950484012	gender	-0.130799662531294	0.877393531584257	0.167097397034729	-0.782774985442227	0.433759259364136
hsa-let-7a-3	-7.48149461029082e-06	0.999992518533376	2.57042492194899e-05	-0.291060615947424	0.771004960418981	age	0.015327157818843	1.01544522112265	0.00875140642941508	1.75139366940217	0.0798781227093122	gender	-0.130768147292631	0.877421183286529	0.167107988908479	-0.782536778443606	0.433899179747339
hsa-let-7b	2.16752782126733e-06	1.00000216753017	9.1161271451091e-06	0.237768493875191	0.812060656196251	age	0.0150663250940244	1.01518039431797	0.00878734824803635	1.71454740027984	0.0864282395251076	gender	-0.129883887004275	0.878197395131148	0.167052341537105	-0.777504139176799	0.436861393350296
hsa-let-7c	-2.90935098632084e-05	0.999970906913349	3.59782924229126e-05	-0.808640652569722	0.418721874119765	age	0.0160827144241357	1.01621273738126	0.00880312466811854	1.82693248482337	0.0677099212680123	gender	-0.128374746160668	0.879523719242108	0.166988913786842	-0.768762088748813	0.442034558549271
hsa-let-7d	1.02847224852627e-05	1.00001028477537	0.00019723106029636	0.052145551871033	0.958412717170573	age	0.0152868909291762	1.01540433312519	0.0087874642960275	1.73962481259661	0.0819249194243485	gender	-0.129742096550817	0.878321923966321	0.168443495095014	-0.770241062010935	0.441156910500967
hsa-let-7e	0.000128237069078906	1.0001282452918	0.000140833066363459	0.910560796481944	0.362526834598005	age	0.0144410647626779	1.01454584068953	0.00881072546738489	1.63903242884313	0.101206506133301	gender	-0.127344730279469	0.880430109358791	0.166972615858366	-0.762668355076191	0.445661207555554
hsa-let-7f-1	-5.18158096589273e-05	0.999948185532757	3.73746870460932e-05	-1.38638778687362	0.165628523726544	age	0.0152006042451522	1.01531672103228	0.00870031486465809	1.74713265917527	0.0806143294304087	gender	-0.138006769820196	0.871092794584244	0.167004765313818	-0.826364263084759	0.408597489328617
hsa-let-7f-2	-4.86960946395757e-05	0.999951305090996	3.66675434192247e-05	-1.3280435529271	0.184163719344733	age	0.0152122132020452	1.01532850786874	0.00870212231336783	1.74810381355786	0.0804460527676424	gender	-0.137671366233842	0.871385011234111	0.167009481050481	-0.8243326388891	0.409750577983888
hsa-let-7g	-0.000738308439355691	0.999261964043257	0.000402331714631093	-1.83507392657987	0.0664947365952413	age	0.0139803698873138	1.01407855226685	0.00878639270904317	1.59113874718174	0.111578354135263	gender	-0.123787098524215	0.883567933776471	0.166947628557033	-0.741472637821427	0.458406916289883
hsa-let-7i	-0.000459100920016671	0.999541004450685	0.000323709048650298	-1.41825173541144	0.15611728231142	age	0.0146970965853978	1.01480562996609	0.00874882252143957	1.67989424284029	0.0929778941484408	gender	-0.119386102413882	0.887465082193504	0.167031855966774	-0.714750499076235	0.47476322747368
hsa-mir-1-1	-0.0136040286002303	0.986488088004746	0.0177454798340098	-0.766619371664313	0.443307854441512	age	0.0153530649966122	1.01547152878329	0.0087401528818063	1.75661286527053	0.0789838185912773	gender	-0.133041689577147	0.875428595100052	0.167019975928441	-0.796561542040623	0.425705720214913
