gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..
ENSG00000146083.10	0.110096770055508	1.11638609797654	0.122710531364188	0.897207182069452	0.369608373515926	age	-0.00488812776384411	0.995123799690453	0.0113644211726208	-0.430125537376298	0.667104324353638
ENSG00000166391.13	-0.0361322403338176	0.964512737562904	0.10965989987785	-0.329493646939906	0.741782595127107	age	-0.00403792434734922	0.995970217107289	0.0115063087431375	-0.350931340144815	0.725639858857819
ENSG00000161558.9	-0.519123316666156	0.595041982759425	0.224033061433098	-2.31717280184193	0.0204943204821262	age	0.00106623533027446	1.00106680396124	0.0117453288696696	0.0907795211275725	0.927667782624706
ENSG00000184178.14	-0.0476322335592637	0.953484382162526	0.175629832430453	-0.271208102291649	0.786230981711465	age	-0.00455075977945541	0.995459579238422	0.0113625462381871	-0.400505281480067	0.688784394238665
ENSG00000166913.11	0.15589904586213	1.1687082112042	0.124389595275891	1.25331259030429	0.210091968225492	age	-0.00515022692090802	0.99486301275889	0.0115207228729296	-0.447040257604807	0.654845993168317
ENSG00000106069.19	0.202340381480695	1.22426465421379	0.135458262536015	1.49374706047848	0.135241743159989	age	-0.00559581099225953	0.994419816395181	0.0113467387698098	-0.493164697432559	0.621896219805152
ENSG00000143033.16	0.0631422069222781	1.06517830418968	0.133553192367074	0.472786953296709	0.636365183041059	age	-0.0047242826648558	0.995286859205805	0.0114043125935023	-0.41425404873131	0.678688062656683
ENSG00000143183.15	0.0752931332874199	1.07820016092351	0.140914529152699	0.534317743813557	0.593121717980535	age	-0.00510705144361062	0.994905967371598	0.0113925709878741	-0.448279097759971	0.653951783867649
ENSG00000166126.9	0.260551914528716	1.29764607878838	0.109764805166596	2.37372912139972	0.0176094638546677	age	-0.00763037244375845	0.992398664945753	0.0110892590094694	-0.688086772726898	0.491398139567825
ENSG00000076984.16	-0.0152920049295499	0.984824324055163	0.144123291686329	-0.106103633566957	0.915500128252527	age	-0.00456999314388077	0.995440433385684	0.0113773005232778	-0.401676402458616	0.687922193311142
ENSG00000125843.9	-0.124509525649095	0.882929850846396	0.125182041434605	-0.99462769756905	0.319917371322738	age	-0.00299021225716301	0.997014253974739	0.011383307773103	-0.262683950637653	0.792794188022807
ENSG00000105053.9	-0.113970065986821	0.892284665143574	0.132744889283334	-0.858564624236199	0.390580762293974	age	-0.00429618556188443	0.995713029841556	0.0112477580360569	-0.381959280072719	0.702491568563292
ENSG00000143224.16	0.0236149657535106	1.02389600695636	0.116868344678013	0.202064689275551	0.839866152308208	age	-0.00490101963151684	0.995110970768804	0.0113572641289509	-0.431531711851592	0.666081799610371
ENSG00000116285.11	-0.0222234114659656	0.97802170937771	0.109361562293044	-0.203210442499131	0.838970551183763	age	-0.00492052947949996	0.995091556494423	0.0113270723854209	-0.434404346690075	0.663994841864399
ENSG00000249915.6	0.0978124579577439	1.10275595261076	0.125850048458212	0.777214305088029	0.437032343777901	age	-0.00489871656216668	0.99511326258102	0.0112960581425859	-0.433666018741406	0.664530986227949
ENSG00000213753.9	0.0162409625457888	1.01637356386306	0.142423058634775	0.114033238026692	0.909211445155153	age	-0.00465614652768757	0.995354676518145	0.0113319509422615	-0.410886576496099	0.681155705815014
ENSG00000119772.15	0.150228647363199	1.1620999234368	0.125745385135949	1.19470505578221	0.232202286447042	age	-0.00591185481594093	0.994105585811996	0.0115100825103348	-0.513624017085258	0.607514884679068
ENSG00000182220.12	-0.00976665983696685	0.990280879093817	0.128210133884722	-0.0761769724517128	0.939278302767826	age	-0.00469808103355784	0.995312937686774	0.0113136288586142	-0.415258542795553	0.677952646531896
ENSG00000168306.11	0.188751955070993	1.20774134121067	0.147116302516848	1.28301182018476	0.199487934961532	age	-0.00635908596508231	0.993661090232029	0.0112710450390316	-0.564196659942429	0.572620300683288
