gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..
ENSG00000167578.15	0.344914861482799	1.4118697100569	0.122044897919666	2.82613093510744	0.00471140013100874	age	0.0497584329876822	1.05101717462893	0.00933427195632844	5.33072458360794	9.78216773792351e-08
ENSG00000070087.12	-0.632443501969203	0.531292000571544	0.141745314520964	-4.46183003725083	8.12626693500356e-06	age	0.0479242758708574	1.04909121079825	0.00954152850928953	5.02270425793926	5.09489663109396e-07
ENSG00000121644.17	1.65044940128203	5.20932037647321	0.346883127861683	4.75794084150478	1.95577793846714e-06	age	0.0476871801792105	1.04884250527669	0.00907550880513018	5.25449109280287	1.48434328958832e-07
ENSG00000138495.5	0.161770687315909	1.17559063256648	0.136092533318157	1.18868157842078	0.234564992344199	age	0.0507818463709582	1.05209335026384	0.00961215985910842	5.28308383498612	1.27027225293784e-07
ENSG00000231982.1	-0.882955895310741	0.413558667078791	0.242390593253533	-3.64269868504013	0.000269794586177363	age	0.0520000468936372	1.05337579190999	0.00896881363618508	5.7978734984347	6.71610810210452e-09
ENSG00000105053.9	0.499543438617341	1.64796870004758	0.0931775183012399	5.3612013683637	8.26702998432757e-08	age	0.0535389620711916	1.05499809587775	0.00902050720717736	5.93524963081812	2.93398740454664e-09
ENSG00000255153.1	-0.180609922572271	0.83476091658638	0.150855773111176	-1.1972357361436	0.23121468459645	age	0.0537428048520337	1.05521317154347	0.00918238865928571	5.85281312370569	4.8332710928454e-09
ENSG00000188186.9	0.236533312155555	1.26684975641338	0.157345173662722	1.50327656482541	0.132767740768995	age	0.0503484075276329	1.05163743095274	0.00943949598946636	5.3338025233357	9.61771168617304e-08
ENSG00000128973.10	0.266249320904929	1.30506039696758	0.103289816287857	2.57769188167518	0.00994626423562339	age	0.0486564381982849	1.04985959711826	0.00962762256960769	5.05383731513143	4.33020491591293e-07
ENSG00000104998.3	0.369175391839609	1.44654129296502	0.117786524471173	3.13427527891751	0.00172279154123537	age	0.0462861672195851	1.04737409220725	0.00980045297047869	4.72285999014638	2.32550951879119e-06
ENSG00000079819.15	-0.139786537567786	0.869543830530289	0.137036847144721	-1.02006533629718	0.307697475130614	age	0.050444219859818	1.05173819561478	0.00970320987104903	5.19871470680293	2.00671241970045e-07
ENSG00000197927.11	-0.896825253757976	0.407862466320546	0.187539963136151	-4.78204878981924	1.73517548456953e-06	age	0.0462614636771745	1.04734821867653	0.00955833602030576	4.83990765535931	1.29899474005035e-06
ENSG00000266392.1	0.000327343910699114	1.00032739749356	0.126760549702056	0.00258238001861398	0.997939561143092	age	0.0535456912534858	1.05500519517615	0.0091731013371746	5.83725059664264	5.30692472518213e-09
ENSG00000166896.6	0.922510205133622	2.51559713585622	0.223346750439585	4.13039456951115	3.62141147556058e-05	age	0.0524184559072796	1.05381662605413	0.00920028207771096	5.69748356240849	1.21588700360027e-08
ENSG00000228929.1	-0.750905162632446	0.471939177639822	0.20928751984367	-3.58791180283155	0.000333337000890522	age	0.0557294256669112	1.05731156365878	0.0089868938978669	6.20118878672185	5.60382433883284e-10
ENSG00000132300.17	-0.648082385740597	0.523047819645393	0.153775655510912	-4.21446674109354	2.50369042391189e-05	age	0.0547421799713243	1.05626825245565	0.00910962087394366	6.00927093770762	1.86359461937988e-09
ENSG00000149923.12	0.541920952941977	1.71930639872782	0.117088782437329	4.6282909571806	3.68695773631664e-06	age	0.0531876432717321	1.05462752031217	0.00924935923054858	5.75041383364862	8.9025267244888e-09
ENSG00000139613.10	-0.493855402445705	0.610269020118868	0.142932987788455	-3.45515342600007	0.000549979759336799	age	0.0504051018231086	1.05169705448613	0.00921879119816798	5.46764762750299	4.56047344086262e-08
ENSG00000228502.1	-0.130152553640585	0.877961484483062	0.107429875726988	-1.21151172110951	0.22569934522771	age	0.0545499309934108	1.05606520548212	0.00911987823943623	5.98143194034386	2.21184475052301e-09
ENSG00000168172.7	-0.308278429394623	0.734710724465726	0.132982966048719	-2.31817982824721	0.0204395498469703	age	0.0520072721320764	1.05338340282874	0.00920037179253242	5.65273592250789	1.57913827827514e-08
ENSG00000232573.1	-1.36565890934163	0.255212458701055	0.316257511718049	-4.31818647380982	1.57316493506633e-05	age	0.0539666377843976	1.05544938943761	0.00916650106175033	5.88737593775969	3.92375503734421e-09
ENSG00000166140.16	0.0685332167336952	1.07093619736265	0.12869227632642	0.532535585584522	0.594355102049857	age	0.0537082491818119	1.0551767085751	0.00921147597865136	5.83058017046202	5.52349934002267e-09
ENSG00000157500.9	-0.325115991332938	0.722443551591489	0.121098757910744	-2.68471780340279	0.007259106846955	age	0.053431718830617	1.05488496052976	0.00921308356520857	5.79954783351706	6.64939697767743e-09
ENSG00000150593.14	-0.546686087330531	0.578864943205553	0.15644898920698	-3.49434080783527	0.000475233933032991	age	0.0476646847222911	1.04881891135068	0.00953538075324443	4.99871855731331	5.77125667197334e-07
ENSG00000170419.9	-1.26841437624244	0.281277268290224	0.454090405967506	-2.79330802759396	0.00521719858068668	age	0.0529203695758274	1.05434568378244	0.00906432277525079	5.83831477408561	5.27314621350318e-09
ENSG00000155926.12	0.58449763315098	1.79408946813964	0.108798007169074	5.37231929480715	7.77303115421603e-08	age	0.0542303175725841	1.05572772680341	0.00919559317800661	5.89742461664012	3.69218855566792e-09
ENSG00000160949.15	0.0657268449920121	1.06793496553706	0.0621497416269091	1.05755620653384	0.290257817052417	age	0.0527009100834824	1.05411432300201	0.00923526462093333	5.70648619683583	1.1533225507523e-08
ENSG00000004700.14	0.157135636577849	1.17015431886494	0.0477365440775414	3.29172627835404	0.000995744758357398	age	0.0570901586505937	1.05875126167762	0.00938552118612881	6.0827904512079	1.18108669334702e-09
ENSG00000152082.12	0.220291502852029	1.24644001845535	0.17560626779333	1.25446264316311	0.209673895757592	age	0.0513710843513442	1.05271346630475	0.00926992153943357	5.5416957018261	2.99556537997433e-08
ENSG00000278107.1	0.260765756773865	1.2979236000111	0.116094978538546	2.2461415649195	0.0246949417345745	age	0.0528107304816909	1.05423009261353	0.00921026157185569	5.73390126541765	9.81464788466691e-09
ENSG00000260081.1	0.072282352971645	1.07495881903522	0.132309872087997	0.546311109148162	0.584852101178369	age	0.0534300849039074	1.05488323692646	0.00916988332222961	5.82669190287103	5.65368478586078e-09
ENSG00000221916.3	0.201810518212231	1.22361613317156	0.12660666712011	1.59399597827479	0.110936935684597	age	0.0518868714395998	1.05325658237239	0.00913669209226353	5.67895589734658	1.3551941254052e-08
ENSG00000106853.15	0.584139002766627	1.79344616850441	0.107574140834681	5.43010614106905	5.63205450954398e-08	age	0.0568105625064082	1.05845528028676	0.00927324964086118	6.12628417292693	8.99550854485948e-10
ENSG00000185565.10	-0.607470664171636	0.544726925415711	0.140599225220576	-4.32058329779998	1.55617298058056e-05	age	0.0528942248604911	1.05431811857501	0.00919105763709625	5.75496607126077	8.66591979338487e-09
ENSG00000105258.7	0.455607938978903	1.57713189159888	0.130550018857585	3.48991093962167	0.000483181543838802	age	0.0487410244387583	1.0499484045505	0.0091712679691511	5.31453498062709	1.06930040392913e-07
ENSG00000138172.9	0.69323425484279	2.00017415614784	0.108511817485293	6.38855998275715	1.67455139481892e-10	age	0.0596454213625668	1.06146010873186	0.00915428853702326	6.51557148557631	7.24134265569294e-11
ENSG00000173818.15	-0.158363558124221	0.853539414365133	0.137076958297831	-1.15528940888913	0.247971931612855	age	0.0519285183512604	1.05330044816966	0.00931953967770595	5.57200464262017	2.51824708882569e-08
ENSG00000167705.10	0.41977375686467	1.52161726121303	0.127922524105935	3.28146868425649	0.00103267990990886	age	0.0453210146005929	1.04636370402692	0.00956492129429251	4.73825274732124	2.15568841477282e-06
ENSG00000140931.18	0.773460975526079	2.16725410208684	0.108779219759875	7.11037436408774	1.15728609085162e-12	age	0.0562870456242577	1.0579013060986	0.00958353863947126	5.87330502247165	4.27191405244662e-09
ENSG00000167555.12	0.599989359567867	1.82209941236222	0.128322214907632	4.67564684727228	2.93028502608378e-06	age	0.0530730670719271	1.05450669202084	0.0090957090255822	5.83495656277659	5.38045822031175e-09
ENSG00000150787.6	0.235339352755845	1.26533809185133	0.109151495241667	2.15607997155505	0.0310774211280479	age	0.050904939463996	1.05222286365943	0.00930333237574162	5.47168878935576	4.45767130280875e-08
ENSG00000118503.13	0.0975628761296358	1.10248075910722	0.0553965098886138	1.76117369714818	0.0782090084736351	age	0.0556969060864263	1.05727718088935	0.00932903358868535	5.97027608025529	2.36852448648266e-09
ENSG00000143369.13	0.429812400078699	1.53696916120707	0.106874409876454	4.02165869805092	5.77897526470695e-05	age	0.050595280957198	1.05189708434142	0.00933709067177167	5.41874152621866	6.00200158411599e-08
ENSG00000114978.16	0.69045018091213	1.99461326797672	0.122686203259717	5.62777364175582	1.82550425451186e-08	age	0.061250463518738	1.06316516493096	0.00926327023865087	6.61218575521755	3.78686388539789e-11
ENSG00000170043.10	0.403052820212356	1.49638592899872	0.143474095345497	2.80923757868466	0.00496589854081698	age	0.048817265857282	1.05002845715786	0.00938883995388588	5.1994992029955	1.9982618417001e-07
ENSG00000181350.10	0.714537687143466	2.04324184689579	0.126535488658154	5.64693505925321	1.63333492026804e-08	age	0.045773532625543	1.0468373096131	0.00958545586306113	4.7753109794118	1.79429758451896e-06
ENSG00000129911.7	0.452573650598122	1.5723536715401	0.104696657902197	4.32271344345008	1.54121858175502e-05	age	0.0559575803548869	1.05755282176972	0.00935299061715183	5.98285432386407	2.19260856457482e-09
ENSG00000197180.2	-0.0183047035385695	0.981861810005666	0.144987147148212	-0.12625052564044	0.899533617616874	age	0.0537212257898951	1.05519040127855	0.00925651062738776	5.80361520149365	6.49001255365304e-09
ENSG00000118482.10	-0.219886617390586	0.802609794796527	0.12678103313358	-1.73438101864107	0.0828505007003985	age	0.0517086525265273	1.05306888885486	0.00927958373796416	5.57230302421643	2.5139365701303e-08
ENSG00000131165.13	0.408924597993105	1.50519822123992	0.12556092165673	3.25678238577333	0.00112682785001622	age	0.0560493754769342	1.05764990441585	0.0092917778896509	6.0321475763386	1.61794916767227e-09
ENSG00000058272.14	-0.357348816743267	0.699528447937726	0.14153547278959	-2.52480038890681	0.0115764022500935	age	0.0539472076369781	1.05542888209961	0.00932428835428504	5.78566487727574	7.22260782799774e-09
ENSG00000116977.17	0.719149964352978	2.0526876111964	0.121165657701066	5.93526233421048	2.93376023156335e-09	age	0.0464782398611646	1.04757528343691	0.00958841250549239	4.84733419995658	1.25131532926886e-06
ENSG00000176165.9	0.199015444631825	1.22020081130662	0.112773690378123	1.76473292631054	0.0776086620607959	age	0.0524383853222527	1.05383762821226	0.00920995173591694	5.69366559411529	1.2434050499161e-08
ENSG00000141756.17	0.727998166147818	2.07093079607016	0.107111938598897	6.7966108696245	1.07108885654162e-11	age	0.0432485332626185	1.04419738038565	0.00978327854344805	4.4206584807485	9.84005870257163e-06
ENSG00000143891.15	0.895533048867368	2.44864068678908	0.115924035895917	7.72517141890594	1.11702920477808e-14	age	0.0546988595618582	1.05622249547356	0.00939821943685758	5.82013007137738	5.88018491671921e-09
ENSG00000139514.11	-0.534473303521277	0.585977841346892	0.149282456918775	-3.58028206765169	0.00034322350271496	age	0.050659897251854	1.05196505622939	0.00934504735826366	5.42104232431271	5.92525280574194e-08
ENSG00000149571.9	0.412264327174233	1.51023357934871	0.116631661380688	3.53475481952189	0.000408153682415437	age	0.0549193872133596	1.05645544742518	0.00910317976134501	6.0329894227251	1.60953954624471e-09
ENSG00000189298.12	-0.233053496822995	0.792111196958322	0.141230768306422	-1.6501609360175	0.0989100242180326	age	0.0519080934395173	1.05327893482067	0.00921746499457702	5.63149341712247	1.78655796403081e-08
ENSG00000072135.11	0.459779791989176	1.58372519761755	0.113746610617107	4.04214059209977	5.29654582646762e-05	age	0.0505959485160103	1.05189778654482	0.00933872533192962	5.41786450694936	6.0315095481855e-08
ENSG00000120327.6	0.496620767690827	1.64315926146682	0.135687688196088	3.66002821842717	0.000252187474633426	age	0.0527738133174276	1.05419117414642	0.00918373797544446	5.74644153160017	9.11411259618787e-09
ENSG00000168273.6	0.478995345325282	1.61445162079399	0.12520386287367	3.82572337890713	0.000130388639505864	age	0.0472742761132542	1.04840952333787	0.00919042670059546	5.14386085144352	2.69148920329272e-07
ENSG00000103187.7	0.143142757944218	1.15389451751765	0.0492102715850202	2.90879837346379	0.00362820772854929	age	0.0509666064338118	1.05228775305575	0.00935578029074032	5.44760616965908	5.10522423185197e-08
ENSG00000125741.4	0.564825867079661	1.75914143161491	0.118992691902585	4.74672736660216	2.06734309042589e-06	age	0.0462379574264054	1.04732359973601	0.0093815394751921	4.92861086910883	8.28163343163594e-07
ENSG00000158079.13	0.509130573166147	1.66384397531178	0.106744931644713	4.76959950530225	1.8459254438651e-06	age	0.0540710017566402	1.05555954607648	0.00951945558119506	5.68005189954909	1.34653877314836e-08
ENSG00000198315.9	-0.24293076084809	0.784325817946003	0.144504963859032	-1.68112398605957	0.092738834288118	age	0.052906885486798	1.05433146698722	0.00923669627664202	5.72790139485156	1.01680636309187e-08
ENSG00000114739.12	-0.530181211439551	0.588498317388072	0.144621417640503	-3.66599373792245	0.000246379953826297	age	0.0503117727618433	1.05159890516746	0.0092577066030411	5.43458276646143	5.49247986181483e-08
ENSG00000113312.9	0.129178226330876	1.13789290857246	0.131893509615893	0.979413063668373	0.327375924892693	age	0.0521210476605559	1.05350325890031	0.00927991739511125	5.61654219982753	1.94816686507281e-08
ENSG00000116852.13	-1.06869844124858	0.343455253820134	0.220134542223812	-4.85475123736843	1.20537961830397e-06	age	0.0465036026753081	1.04760185323106	0.00942352288009621	4.93484265566227	8.02154006620012e-07
ENSG00000099849.13	0.410364772297282	1.50736753075781	0.133332637383807	3.07775185692922	0.00208568509944747	age	0.0484635912720088	1.04965715444279	0.00931638148878146	5.20197582402217	1.97180881044482e-07
ENSG00000239697.9	0.441709218163787	1.5553634032452	0.127249681211374	3.47120098030002	0.000518136039831795	age	0.052871260987029	1.05429390762514	0.00930454601943455	5.68230420663147	1.32892010504786e-08
ENSG00000136732.13	0.41942784158406	1.52109100157701	0.0894096514006922	4.6910801576038	2.71766465379664e-06	age	0.0528469688131565	1.05426829684529	0.00927122358494508	5.70010725434032	1.19732073670573e-08
ENSG00000106105.12	0.372157621407493	1.4508616501265	0.112789242839644	3.29958435785052	0.000968281211729551	age	0.0520814922226763	1.05346158794176	0.00907808390131431	5.73705781846058	9.63353770724634e-09
ENSG00000173113.5	0.297421850439284	1.34638315198937	0.151370539972107	1.96485954594659	0.049430496023997	age	0.0506748246599587	1.0519807594583	0.00936983556492169	5.40829391389455	6.3627946388443e-08
ENSG00000126814.6	-1.21079854903332	0.297959249332662	0.297899186395245	-4.06445738803349	4.814433326179e-05	age	0.0505002206810941	1.05179709546671	0.00933046846423746	5.41239926748107	6.21858385527124e-08
ENSG00000152208.10	-0.623709157768348	0.535952812713852	0.179405702269503	-3.4765291731442	0.000507948963814612	age	0.045816018516526	1.04688178637372	0.00942509746468637	4.86106575429993	1.16755460802336e-06
