gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..
ENSG00000146083.10	0.323890381333418	1.38249575147214	0.178981839876273	1.8096270636022	0.0703536400945974	age	0.023576013636435	1.02385612481598	0.0108069260398098	2.18156518787927	0.0291416384764142
ENSG00000198242.12	-0.275282308783804	0.759357719608085	0.19127371487743	-1.43920616045026	0.150092120493571	age	0.0237722535810708	1.02405706600093	0.0107568889852258	2.20995620701497	0.0271082017553203
ENSG00000153561.11	0.289369745900899	1.33558546449526	0.141275960626965	2.0482589155063	0.0405346363495079	age	0.0246874546028846	1.02499471307646	0.0109174635646287	2.26128115351529	0.0237418525214294
ENSG00000227766.1	0.197495489918273	1.21834757011013	0.110789174851106	1.78262443224886	0.074647459928825	age	0.0245507715440394	1.02485462323795	0.0109909721039824	2.23372157728832	0.0255013983524336
ENSG00000088179.7	0.283681984663676	1.32801053587512	0.145028338592989	1.95604519375905	0.0504598304736472	age	0.0231925560124649	1.02346359464322	0.0107280073963654	2.16186987532489	0.0306282075940254
ENSG00000275479.1	-0.39424098328804	0.674191567761958	0.216645602553596	-1.8197506833332	0.0687969810810977	age	0.0212748233129413	1.0215027458339	0.0106815502689891	1.99173554186295	0.0464000818826369
ENSG00000022567.8	0.329044974033534	1.38964035191403	0.171609383356237	1.91740665689873	0.0551862891896451	age	0.0239426007331878	1.02423152606469	0.0111506915927053	2.14718526955323	0.0317785349486883
ENSG00000111863.11	0.545081754553968	1.72474938272914	0.20834464716696	2.61625034271775	0.00889013504355956	age	0.0243632141961493	1.02466242224776	0.0107910457734563	2.25772503496164	0.0239628074260523
ENSG00000109618.10	0.130548515293851	1.13945321946037	0.161484879097038	0.808425631079691	0.418845601884048	age	0.0227182354634863	1.02297825994036	0.0108410904418025	2.09556737723414	0.0361205856734419
ENSG00000152942.17	0.371046889482434	1.44925102642404	0.136363381890311	2.72101560066102	0.00650816900291516	age	0.0258731821092939	1.02621079833207	0.011035755537461	2.34448670247063	0.0190532899304988
ENSG00000136169.15	0.267329371789499	1.3064706900608	0.144871717829603	1.84528337065713	0.0649963282174509	age	0.0239248531033895	1.02421334854404	0.0107800908830379	2.21935541759063	0.0264625541705143
ENSG00000121644.17	0.311403622964105	1.36534019264188	0.133674926599484	2.32955895982745	0.019829473382222	age	0.0247269455991941	1.02503519193816	0.0111628825298644	2.21510398707873	0.0267529278421634
ENSG00000159479.15	-0.35054277725194	0.704305704838196	0.141440342235546	-2.47837902334942	0.0131980859716221	age	0.0223844576385528	1.02263686945926	0.0105942877431669	2.11287990105709	0.0346110485667717
ENSG00000129455.14	-0.448091056848366	0.638846510033592	0.156125725993763	-2.87006548085654	0.00410386803964906	age	0.0266862665548551	1.02704553367924	0.0109921553126537	2.42775559440422	0.0151925775512752
ENSG00000183696.12	-0.689336842414727	0.501908803356288	0.253051415853376	-2.72409794701225	0.00644773814417907	age	0.0262210376926237	1.02656783358269	0.0109891229060228	2.38609012901774	0.0170285771844819
ENSG00000168300.12	0.16379271338317	1.1779701123443	0.126186877501384	1.29801700958464	0.194281490052844	age	0.0233460354213356	1.02362068728567	0.010817380584248	2.15819673159429	0.0309125394175456
ENSG00000221539.1	-0.394340963441479	0.674124165355074	0.190549357167734	-2.06949511298721	0.0384996494492383	age	0.0240947680402477	1.0243873924764	0.0105748296336729	2.27850177023409	0.0226966991493276
ENSG00000079819.15	0.42630238693672	1.53158383606245	0.169658329017678	2.51271122028026	0.0119807361268385	age	0.0246818898258817	1.02498900922532	0.0108300804583346	2.27901260021453	0.0226663162978269
ENSG00000197927.11	0.612430236616821	1.84490952180297	0.176160814332709	3.476540676408	0.000507927173900899	age	0.0215957209207399	1.02183059622178	0.0109674135619189	1.96908056752092	0.048943839963585
ENSG00000114062.16	0.346879332130728	1.41464601275074	0.155540876824093	2.23014900785872	0.0257375522105309	age	0.0240906791668944	1.02438320389465	0.0107668544433606	2.2374853578289	0.0252546352519047
ENSG00000131845.13	0.311387816316215	1.36531861136077	0.145130769150854	2.14556718839234	0.0319075255882627	age	0.0231155056649301	1.02338473945552	0.01073973839004	2.15233414683242	0.031371046244682
ENSG00000172345.12	0.210384479538325	1.23415247512329	0.126036589032698	1.66923336431887	0.0950711403200447	age	0.0226176262628235	1.02287534409256	0.0107257095876996	2.10873006376768	0.0349678882787974
ENSG00000149923.12	-0.262402771086984	0.769201149324521	0.166232156331031	-1.57853195722518	0.11444345245004	age	0.0220571682316503	1.0223022260104	0.0106894241264251	2.06345711151297	0.0390692186052301
ENSG00000144959.8	0.491110348293231	1.63412966607631	0.137461763370434	3.57270513815379	0.000353312514849399	age	0.0305488581311221	1.03102026254139	0.0108341177213599	2.81969043689582	0.00480699981354898
ENSG00000139613.10	0.370396345487747	1.44830853147246	0.16973077798493	2.18225798458682	0.0290904980022169	age	0.0256485464002742	1.02598030063176	0.0107487616307943	2.38618617486066	0.017024130287182
ENSG00000173276.12	0.250612412316133	1.28481201050243	0.144577576565753	1.73341135097915	0.0830225815001199	age	0.0235624397064444	1.02384222715894	0.0107621290912329	2.18938460101162	0.0285688979420683
ENSG00000170325.13	0.143340187643459	1.15412235305521	0.127397182129391	1.12514409853959	0.260527976992526	age	0.0217395159283307	1.02197754092483	0.0107166586163376	2.02857221701441	0.0425018807667144
