gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..
ENSG00000078237.5	0.256789214913028	1.29277260085306	0.0897806941111646	2.86018299875335	0.00423396610460342	age	0.0260314552345313	1.02637323277644	0.00811739717682229	3.20687218667324	0.00134186600283535
ENSG00000167700.7	-0.00107409951725803	0.998926477121154	0.081290391539255	-0.0132131177734499	0.989457764084699	age	0.0271404831948282	1.02751214081298	0.00811371662687574	3.34501245766072	0.000822788746488754
ENSG00000060642.9	-0.280105859623591	0.755703738707944	0.106091367805621	-2.6402323338577	0.00828492086941023	age	0.0246036332042308	1.02490880018672	0.00805831288766663	3.05319904391985	0.00226415704035076
ENSG00000088179.7	-0.137043658019398	0.871932158470047	0.116939068728424	-1.17192363090957	0.241227718622224	age	0.0269208052866914	1.02728644388653	0.00805783299113496	3.34094852999671	0.0008349269955752
ENSG00000022567.8	-0.549963669729952	0.576970771503661	0.186690994240334	-2.94585002328481	0.00322068519675197	age	0.0259762299437198	1.02631655258128	0.00822009180796928	3.16009000270972	0.00157720409774071
ENSG00000184178.14	-0.163855458147474	0.8488647094909	0.10931524246891	-1.49892599098498	0.133892832832173	age	0.0277180282096287	1.02810574672812	0.00810742445509812	3.41884507998086	0.000628875201611972
ENSG00000166913.11	-0.0422595261344009	0.958620961093914	0.106147058781333	-0.398122440881355	0.690539933311037	age	0.0269745491957343	1.02734165575936	0.00808767382142312	3.33526670230969	0.000852176256510827
ENSG00000138495.5	-0.0363060442230256	0.964345116064981	0.0873461838897854	-0.415656902296236	0.677661082120155	age	0.0270650085336114	1.02743459260876	0.00809285014545287	3.34431109524726	0.000824871836565487
ENSG00000112511.16	-0.0501047483152224	0.95112979003947	0.0957760672523285	-0.523144766251658	0.60087351488621	age	0.0274948320750252	1.02787630310591	0.00809983804991608	3.39449158187923	0.000687561537847901
ENSG00000174013.7	0.193072340811027	1.21297053761778	0.0761271763632341	2.53618155873534	0.0112068614977888	age	0.0280095613485406	1.02840551731801	0.00811271369067705	3.45255144166231	0.00055531158152025
ENSG00000203780.9	-0.00731611446824978	0.992710583149921	0.0964302767537118	-0.0758694749672402	0.939522942288973	age	0.0271181951035024	1.02748923978376	0.00808876335432719	3.35257614985055	0.000800632131744214
ENSG00000143183.15	-0.193048543007063	0.824441952276213	0.111494861849596	-1.73145685643774	0.0833703134404179	age	0.0286300373361373	1.02904381625112	0.0081504827498457	3.51267994974645	0.000443611489534693
ENSG00000183696.12	0.00760255876890574	1.00763153159482	0.0769865011560921	0.0987518416181996	0.921335306331031	age	0.0271119590647674	1.02748283234104	0.00808199034061185	3.35461413861513	0.000794757584890896
ENSG00000278126.1	-0.147089898740567	0.863216371863384	0.103117691061945	-1.42642738821806	0.153745012674372	age	0.0271522317724578	1.02752421269005	0.00806813445226209	3.36536679366381	0.000764419670379698
ENSG00000178075.18	-0.179591851134435	0.835611195581918	0.120623130631262	-1.48886743524703	0.136522280296767	age	0.0255825141150969	1.02591255504468	0.00813164643696168	3.14604358581232	0.00165495340709304
ENSG00000110395.4	-0.102855322596361	0.902257500311706	0.098310894421268	-1.04622507202121	0.295457129847068	age	0.0264335873790912	1.02678605344432	0.0081220458731348	3.25454790479887	0.0011357300383717
ENSG00000079819.15	0.0956588346902046	1.10038358724036	0.0980424147903656	0.975688276290852	0.329218963701441	age	0.0278852436916418	1.02827767630037	0.00810781843009585	3.439302931123	0.000583214226904078
ENSG00000197927.11	0.125605327817316	1.13383458699364	0.0539230259503036	2.32934494316169	0.0198407992506182	age	0.0256681959525706	1.0260004608834	0.00807115080545143	3.18023991513499	0.00147153166742519
ENSG00000251359.4	-0.174280671776684	0.840061083130013	0.101407888172346	-1.71861060236742	0.0856852998237204	age	0.0270540934611931	1.02742337814698	0.00812846242448683	3.32831623600709	0.000873726256416209
ENSG00000146535.12	0.329120076633773	1.38974472143702	0.0650556521472812	5.05905429844388	4.213408850228e-07	age	0.0288065830175895	1.02922550553066	0.0081220269149264	3.54672341268035	0.000390053861900669
ENSG00000064102.13	0.217315143559201	1.24273568057833	0.0976624559813069	2.22516566244039	0.0260701190501361	age	0.0268681983471723	1.02723240291218	0.00818421115684172	3.28293073483465	0.00102733904671866
ENSG00000224650.2	0.0578285878841253	1.05953336328809	0.0543074643392027	1.06483682469374	0.286949777696618	age	0.0277439354519316	1.02813238245785	0.00813167152924036	3.41183671182097	0.000645267537810095
ENSG00000204519.9	-0.116242066304271	0.890259695338205	0.103758750900501	-1.1203109645734	0.262581271248249	age	0.0264703370315222	1.02682378816827	0.00812913892209402	3.2562288927772	0.00112902693944557
ENSG00000181381.12	0.276879925312735	1.31900798205495	0.0757598735937517	3.65470416169716	0.000257478702741304	age	0.0289989159430465	1.02942347852085	0.00804223285758649	3.6058289353921	0.000311158070663
ENSG00000135905.17	0.0862500616517208	1.09007888115173	0.092396508809333	0.933477495667116	0.350573484507135	age	0.0274654136620223	1.02784606506109	0.00806088636098749	3.40724486514876	0.000656222267902533
ENSG00000174197.15	-0.139882391537192	0.869460485297109	0.105315301776925	-1.32822476104647	0.184103866756259	age	0.0259457413594095	1.02628526211954	0.00812047306428364	3.19510220082214	0.00139781332144104
ENSG00000184979.9	0.148446630822432	1.16003088622801	0.0819265926754686	1.8119468413689	0.0699944107115063	age	0.0256795151727727	1.02601207447427	0.00808165194114483	3.1775081827064	0.0014854649811723
