ENSG00000168000.13	BSCL2
ENSG00000067048.15	DDX3Y
ENSG00000196865.4	NHLRC2
ENSG00000122970.14	IFT81
ENSG00000205423.10	CNEP1R1
ENSG00000230982.1	
ENSG00000105245.8	NUMBL
ENSG00000151553.13	FAM160B1
ENSG00000140543.12	DET1
ENSG00000134258.15	VTCN1
ENSG00000176485.9	PLAAT3
ENSG00000206538.6	VGLL3
ENSG00000003249.12	DBNDD1
ENSG00000205629.10	LCMT1
ENSG00000151893.13	CACUL1
ENSG00000107679.13	PLEKHA1
ENSG00000151414.13	NEK7
