ENSG00000206838.1	
ENSG00000090612.19	ZNF268
ENSG00000215012.7	RTL10
ENSG00000173113.5	TRMT112
ENSG00000144711.12	IQSEC1
ENSG00000166377.18	ATP9B
ENSG00000012983.10	MAP4K5
ENSG00000152076.17	CCDC74B
ENSG00000135124.13	P2RX4
ENSG00000083312.16	TNPO1
ENSG00000076864.18	RAP1GAP
ENSG00000174851.13	YIF1A
ENSG00000234284.5	ZNF879
ENSG00000165140.8	FBP1
ENSG00000272644.1	
ENSG00000169118.14	CSNK1G1
ENSG00000261652.2	C15orf65
ENSG00000102781.12	KATNAL1
ENSG00000058063.14	ATP11B
ENSG00000007384.14	RHBDF1
ENSG00000090776.5	EFNB1
ENSG00000117151.11	CTBS
ENSG00000130600.14	
ENSG00000126214.19	KLC1
ENSG00000081177.17	EXD2
ENSG00000153147.5	SMARCA5
ENSG00000101224.16	CDC25B
ENSG00000099814.14	CEP170B
ENSG00000198429.8	ZNF69
ENSG00000072071.15	ADGRL1
ENSG00000196367.11	TRRAP
ENSG00000181061.12	HIGD1A
ENSG00000113558.17	SKP1
ENSG00000254719.1	
ENSG00000240005.4	
ENSG00000131381.11	RBSN
ENSG00000155893.10	PXYLP1
ENSG00000136811.15	ODF2
ENSG00000130508.9	PXDN
ENSG00000112701.16	SENP6
ENSG00000230424.1	
ENSG00000119326.13	CTNNAL1
ENSG00000167378.7	IRGQ
ENSG00000100425.17	BRD1
ENSG00000088387.16	DOCK9
ENSG00000031081.9	ARHGAP31
ENSG00000115207.12	GTF3C2
ENSG00000127957.15	
ENSG00000135506.14	OS9
ENSG00000170647.3	
ENSG00000087884.13	AAMDC
ENSG00000100104.11	SRRD
ENSG00000198440.8	ZNF583
ENSG00000090013.8	BLVRB
ENSG00000253729.6	PRKDC
ENSG00000196967.9	ZNF585A
ENSG00000013523.8	ANGEL1
ENSG00000241973.9	PI4KA
ENSG00000106682.13	EIF4H
ENSG00000171681.11	ATF7IP
ENSG00000184203.6	PPP1R2
ENSG00000113300.10	CNOT6
ENSG00000101447.12	FAM83D
ENSG00000227473.1	
ENSG00000269910.1	
ENSG00000169251.11	NMD3
ENSG00000116586.10	LAMTOR2
ENSG00000162645.11	GBP2
ENSG00000131747.13	TOP2A
ENSG00000146433.8	TMEM181
ENSG00000276070.3	CCL4L2
ENSG00000134248.12	LAMTOR5
ENSG00000171262.10	FAM98B
ENSG00000154429.9	CCSAP
ENSG00000132357.12	CARD6
ENSG00000143379.11	SETDB1
ENSG00000137767.12	SQOR
ENSG00000243335.7	KCTD7
ENSG00000154839.8	SKA1
ENSG00000119906.10	SLF2
ENSG00000029725.15	RABEP1
ENSG00000165895.16	ARHGAP42
ENSG00000101004.13	NINL
ENSG00000145882.9	PCYOX1L
ENSG00000131459.11	GFPT2
ENSG00000197016.10	ZNF470
ENSG00000166949.14	SMAD3
ENSG00000117479.11	SLC19A2
ENSG00000085514.14	PILRA
ENSG00000170677.5	SOCS6
ENSG00000024526.15	DEPDC1
ENSG00000104824.15	HNRNPL
ENSG00000172318.5	B3GALT1
ENSG00000151445.14	VIPAS39
ENSG00000233369.6	
ENSG00000235423.7	
ENSG00000175701.9	MTLN
ENSG00000154813.8	DPH3
ENSG00000168958.18	MFF
ENSG00000148450.11	MSRB2
ENSG00000102974.13	CTCF
ENSG00000134899.16	ERCC5
ENSG00000184708.16	EIF4ENIF1
ENSG00000230177.1	
ENSG00000156650.11	KAT6B
ENSG00000181790.9	ADGRB1
ENSG00000269858.4	EGLN2
ENSG00000113845.8	TIMMDC1
ENSG00000115163.13	CENPA
ENSG00000173926.5	MARCHF3
ENSG00000167920.7	
ENSG00000231025.1	
ENSG00000213719.7	CLIC1
ENSG00000078177.12	N4BP2
ENSG00000105246.5	EBI3
ENSG00000037474.13	NSUN2
ENSG00000255389.1	
ENSG00000196453.7	ZNF777
ENSG00000243056.1	EIF4EBP3
ENSG00000132661.3	NXT1
ENSG00000095564.12	BTAF1
