gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new	gene_ensembl	gene_name
ENSG00000146083.10	0.22596069083895	1.2535263892389799	0.11560589883292599	1.9545775182762	0.0506329570141778	age	0.0281914990217473	1.02859264004676	0.00753630739876675	3.7407575792835295	0.000183466415030043	gender	0.0669355718305827	1.06922658764364	0.192634986812425	0.34747359728459	0.7282355506080671	Interaction	-0.424790334799449	0.6539068722736611	0.17559828481752102	-2.41910298406892	0.0155588346036713	0.0566966091921551	ENSG00000146083	RNF44
ENSG00000134108.11	-0.0607402340980864	0.9410676653187678	0.10707594108467099	-0.567263135703431	0.5705354188813929	age	0.0256428035526832	1.02597440860018	0.0074702413233111295	3.43266066554825	0.0005976896382120491	gender	0.10909041678657301	1.11526318429615	0.19340034204861897	0.564065273261765	0.572709710591775	Interaction	0.37352777340114296	1.4528509135943801	0.20745730321964997	1.8005043332008601	0.0717810399922338	0.0853136329149836	ENSG00000134108	ARL8B
ENSG00000102174.8	-0.22400260667857602	0.799313050814445	0.136941366107169	-1.63575560143947	0.10189074754562899	age	0.0245570146207553	1.02486102150396	0.007358747284734791	3.33711889681238	0.000846517267081542	gender	0.075250188998825	1.0781538593788298	0.19432179581886702	0.38724523248523207	0.6985746666183461	Interaction	0.40518918628033795	1.49958617435265	0.22649134488664602	1.7889830910895401	0.0736175387450567	0.0867982366886848	ENSG00000102174	PHEX
ENSG00000153561.11	0.0207444315125575	1.0209610928103	0.10734455918835198	0.19325088918720398	0.846762485998902	age	0.0266915292033919	1.02705093867313	0.00762615727746581	3.49999721121167	0.000465263025549437	gender	0.0333724876760959	1.03393559578975	0.195659149938432	0.17056441105155098	0.864566283652575	Interaction	-0.47905548233168105	0.619368119752032	0.23621155608844396	-2.02807809348798	0.0425522783261879	0.066278088943638	ENSG00000153561	RMND5A
ENSG00000088179.7	0.0123023077442308	1.01237829240801	0.120708556628935	0.10191744552168598	0.9188222025437801	age	0.0266192965676583	1.02697675475608	0.00757849909895872	3.5124760483663193	0.00044395201785418797	gender	0.0368675070718097	1.03755554295889	0.19438079190226	0.189666410508029	0.849570543519669	Interaction	-0.38921490256718105	0.677588638828297	0.22205415102126502	-1.7527927344619099	0.0796375907422033	0.0911936369575927	ENSG00000088179	PTPN4
ENSG00000022567.8	0.249907170866797	1.28390622725351	0.12682752188910498	1.97044905667486	0.0487869280218177	age	0.025476308019546	1.0258036026636401	0.007271308823716709	3.5036756981700896	0.00045888382672294807	gender	0.012313538568682	1.01238966231474	0.193236222230113	0.0637227245832751	0.9491910099164929	Interaction	-0.39895080733844707	0.671023709983808	0.19591942095179998	-2.03630046169132	0.0417201935059517	0.0658400403313142	ENSG00000022567	SLC45A4
ENSG00000184178.14	0.521913821345488	1.68524983247618	0.176262860591585	2.96099711302657	0.00306644813475633	age	0.0248365598709831	1.02514755658256	0.007272264815643259	3.41524415028969	0.000637248641708283	gender	-0.0105411660246282	0.9895141973636329	0.19378699469532798	-0.0543956318699355	0.95661995896712	Interaction	-0.617405266271078	0.5393420726324261	0.207976830319827	-2.9686252325397495	0.00299135181720991	0.0529403672779553	ENSG00000184178	SCFD2
ENSG00000166913.11	0.165485170893845	1.17996546475658	0.114259565739149	1.4483266221372	0.147525725633072	age	0.0251766420205894	1.02549625025615	0.0072761061126634	3.46018071077492	0.000539812987724735	gender	0.0299445889375707	1.03039743695492	0.19557184903850802	0.15311298167291199	0.8783091786951509	Interaction	-0.37375251132900394	0.6881471993918161	0.19028649952280105	-1.9641567439954901	0.0495119173894049	0.0698465979473551	ENSG00000166913	YWHAB
ENSG00000036448.8	-0.0470758667824444	0.9540150167950291	0.117390009813074	-0.40102106522868103	0.6884046147986129	age	0.023633708509538998	1.02391519776926	0.00738610377704377	3.1997531070431604	0.00137545357015243	gender	0.0755429895628805	1.07846958965774	0.19270219402296498	0.39201935372815505	0.695043913825272	Interaction	0.39691683057031296	1.48723223265085	0.22294213314127104	1.78035809103342	0.0750173757856049	0.08786871311281098	ENSG00000036448	MYOM2
ENSG00000149089.11	-0.14236469031966198	0.86730490110192	0.113879059118116	-1.25013932695036	0.21124865588549105	age	0.0215907158484694	1.0218254818986001	0.00739023328006287	2.92152020514915	0.0034832768112527	gender	0.166689785852462	1.18138772527224	0.19554152737396802	0.8524521010499839	0.39396321330785294	Interaction	0.6132286641967629	1.84638313665677	0.203061923623624	3.01990965737813	0.00252850094381618	0.0529403672779553	ENSG00000149089	APIP
ENSG00000138193.13	0.128288996232354	1.13688150969907	0.11731922879248599	1.0935035761211	0.27417275972224603	age	0.0232897217937134	1.02356304511449	0.007355333351740359	3.1663720296514906	0.00154353244918611	gender	0.0793446491048126	1.08257736710227	0.192903610712643	0.41131759437622706	0.6808396699345051	Interaction	-0.507100861457113	0.6022390247141011	0.20643439462870397	-2.45647467016915	0.0140307693014394	0.0563331267403784	ENSG00000138193	PLCE1
