ENSG00000277972.1	CISD3
ENSG00000169136.7	ATF5
ENSG00000105223.17	PLD3
ENSG00000149131.14	SERPING1
ENSG00000120162.9	MOB3B
ENSG00000211482.1	
ENSG00000119630.12	PGF
ENSG00000179292.4	TMEM151A
ENSG00000170468.7	RIOX1
ENSG00000107902.12	LHPP
ENSG00000234745.8	HLA-B
ENSG00000256742.1	
ENSG00000103966.8	EHD4
ENSG00000140262.16	TCF12
ENSG00000160570.12	DEDD2
ENSG00000177679.15	SRRM3
ENSG00000140264.18	SERF2
ENSG00000149761.7	NUDT22
ENSG00000177337.6	
ENSG00000188039.12	NWD1
ENSG00000114120.10	SLC25A36
ENSG00000105993.13	DNAJB6
ENSG00000182504.9	CEP97
ENSG00000062485.17	CS
ENSG00000173327.6	MAP3K11
ENSG00000116883.8	
ENSG00000181192.10	DHTKD1
ENSG00000254685.5	FPGT
ENSG00000039123.14	MTREX
ENSG00000182771.16	GRID1
ENSG00000119185.11	ITGB1BP1
ENSG00000247134.5	
ENSG00000165916.7	PSMC3
ENSG00000131370.14	SH3BP5
ENSG00000152348.14	ATG10
ENSG00000151233.9	GXYLT1
ENSG00000127314.16	RAP1B
ENSG00000184164.13	CRELD2
ENSG00000135775.12	COG2
ENSG00000099956.16	SMARCB1
ENSG00000013306.14	SLC25A39
ENSG00000100227.16	POLDIP3
ENSG00000135336.13	ORC3
ENSG00000002919.13	SNX11
ENSG00000184677.15	ZBTB40
ENSG00000198576.3	ARC
ENSG00000114200.8	BCHE
ENSG00000135521.8	LTV1
ENSG00000168385.16	SEPTIN2
ENSG00000101421.3	CHMP4B
ENSG00000131148.7	EMC8
ENSG00000198910.11	L1CAM
ENSG00000009335.16	UBE3C
ENSG00000154928.15	EPHB1
ENSG00000139154.13	AEBP2
ENSG00000174307.6	PHLDA3
ENSG00000119414.10	PPP6C
ENSG00000107438.7	PDLIM1
ENSG00000181830.8	SLC35C1
ENSG00000205981.5	DNAJC19
ENSG00000138434.15	ITPRID2
ENSG00000139163.14	ETNK1
ENSG00000107521.17	HPS1
ENSG00000108055.9	SMC3
ENSG00000129493.13	HEATR5A
ENSG00000115963.12	RND3
ENSG00000118508.4	RAB32
ENSG00000151914.16	DST
ENSG00000149091.14	DGKZ
ENSG00000129968.14	ABHD17A
ENSG00000175198.13	PCCA
ENSG00000172531.13	PPP1CA
ENSG00000189050.13	RNFT1
ENSG00000093072.14	ADA2
ENSG00000162702.7	ZNF281
ENSG00000233276.3	GPX1
ENSG00000125378.14	BMP4
ENSG00000272523.1	
ENSG00000171443.6	ZNF524
ENSG00000142694.6	EVA1B
ENSG00000167771.5	RCOR2
ENSG00000169504.13	CLIC4
ENSG00000128228.4	SDF2L1
ENSG00000135636.12	DYSF
ENSG00000182484.13	
ENSG00000106415.11	GLCCI1
ENSG00000100523.13	DDHD1
ENSG00000261455.1	
ENSG00000171724.2	VAT1L
ENSG00000146859.6	TMEM140
ENSG00000101311.14	FERMT1
ENSG00000166348.16	USP54
ENSG00000164535.13	DAGLB
ENSG00000177575.11	CD163
ENSG00000139131.11	YARS2
ENSG00000101460.11	MAP1LC3A
ENSG00000090020.9	SLC9A1
ENSG00000068885.13	IFT80
ENSG00000197712.10	FAM114A1
ENSG00000270607.1	
ENSG00000184384.12	MAML2
ENSG00000217555.11	CKLF-CMTM1
ENSG00000145375.7	SPATA5
ENSG00000102606.16	ARHGEF7
ENSG00000182132.11	KCNIP1
ENSG00000177700.5	POLR2L
ENSG00000163520.12	FBLN2
ENSG00000196458.9	ZNF605
ENSG00000006327.12	TNFRSF12A
ENSG00000112335.13	SNX3
ENSG00000077713.17	SLC25A43
ENSG00000078319.8	
ENSG00000183011.12	NAA38
ENSG00000141699.9	RETREG3
ENSG00000136270.12	TBRG4
ENSG00000013619.12	MAMLD1
ENSG00000011478.10	QPCTL
ENSG00000124766.5	SOX4
ENSG00000074416.12	MGLL
ENSG00000130725.6	UBE2M
ENSG00000235597.1	
ENSG00000086200.15	IPO11
ENSG00000089041.15	P2RX7
ENSG00000134070.4	IRAK2
ENSG00000172301.9	COPRS
ENSG00000106066.12	CPVL
ENSG00000161204.10	ABCF3
ENSG00000100865.13	CINP
ENSG00000213614.8	HEXA
ENSG00000130449.5	ZSWIM6
ENSG00000115307.15	AUP1
ENSG00000241468.6	ATP5MF
ENSG00000140859.14	KIFC3
ENSG00000070214.14	SLC44A1
ENSG00000115526.9	CHST10
ENSG00000183793.12	NPIPA5
ENSG00000170315.12	UBB
ENSG00000169689.13	CENPX
ENSG00000067601.7	
ENSG00000164713.8	BRI3
ENSG00000174740.7	PABPC5
ENSG00000164048.12	ZNF589
ENSG00000240184.5	PCDHGC3
ENSG00000177283.5	FZD8
ENSG00000146540.13	C7orf50
ENSG00000164897.11	TMUB1
ENSG00000112144.14	
ENSG00000143013.11	LMO4
