gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new	gene_ensembl	gene_name
ENSG00000146083.10	0.45590878211453995	1.57760643228004	0.0918992198617313	4.9609646610764	7.01439536009781e-07	age	0.0116886497904647	1.0117572289964	0.007114134839732541	1.64301774618938	0.100379261613614	gender	0.0832677284785555	1.0868327456778701	0.187910456069001	0.443124508451939	0.6576756788440289	Interaction	-0.36712403618605605	0.6927237169075671	0.148227353400147	-2.47676307891018	0.0132579876728924	0.0416841723695504	ENSG00000146083	RNF44
ENSG00000166391.13	-0.629210818121549	0.533012278699728	0.180993689062111	-3.4764240752373703	0.000508148084566454	age	0.0156328979907709	1.01575573098439	0.0071295763302619795	2.1926826036514897	0.0283302549805549	gender	0.168988374079833	1.18410637251779	0.19099838460043103	0.8847633681999829	0.37628427039058393	Interaction	0.5747827980728449	1.77674457265531	0.20945097648375602	2.7442354660849304	0.00606520157871275	0.032774697162247	ENSG00000166391	MOGAT2
ENSG00000161558.9	0.0387842622212958	1.03954619007082	0.14936412548834	0.25966249991081897	0.795124121357126	age	0.0136421699101189	1.0137356489118299	0.007197709649459841	1.89534873932331	0.0580462150373338	gender	0.128472301537798	1.1370899252127098	0.187207264318166	0.686257031775506	0.4925510394007321	Interaction	-0.5393703391672761	0.5831153016700029	0.26385014699929604	-2.0442298225011597	0.0409308483263647	0.061662057218939	ENSG00000161558	TMEM143
ENSG00000184178.14	0.27891108539957105	1.32168982112254	0.103929922264732	2.68364566548144	0.00728242432346243	age	0.0121131439585304	1.01218680520945	0.00696189892107257	1.7399195385997	0.0818731473362167	gender	0.109759052347287	1.1160091382786101	0.188086447499598	0.583556411460859	0.559518793422281	Interaction	-0.35219620424783604	0.7031421489648779	0.202511387292584	-1.73914271664631	0.0820096624871356	0.0911952325147919	ENSG00000184178	SCFD2
ENSG00000166913.11	0.590747206378295	1.8053368707727	0.0941387299528764	6.275283368216339	3.4899808872530103e-10	age	0.014874303793565	1.01498547677322	0.00731154564188502	2.03435833161676	0.041915479845823	gender	0.107190569675092	1.11314636620899	0.19027914653864397	0.5633332481514071	0.573207982047834	Interaction	-0.45409270775800503	0.635023858878679	0.154256522885412	-2.94375044415673	0.00324261349667762	0.0266921902446396	ENSG00000166913	YWHAB
ENSG00000106069.19	-0.29890552107868396	0.7416294744778891	0.131147444976856	-2.27915626668466	0.0226577777567683	age	0.0116187736436049	1.01168653376966	0.0071192632677105905	1.63201910179413	0.10267546224243701	gender	0.159745456357352	1.1732121992741298	0.186571634291083	0.8562151313319258	0.391878794467043	Interaction	0.476885467229632	1.6110489155916599	0.18462968523626502	2.58292953605687	0.00979653291718568	0.0376875436112892	ENSG00000106069	CHN2
ENSG00000143033.16	0.536399770178715	1.70983995091613	0.0864439885693908	6.205171453283111	5.46373026792884e-10	age	0.0190820283239916	1.0192652538088398	0.0074102966800877	2.57506941324862	0.0100219971558438	gender	0.0233751056348884	1.0236504445901702	0.190613365762583	0.12263098939243801	0.9023993136616071	Interaction	-0.473970355445761	0.6225257067912321	0.15478655573706	-3.06208994178349	0.00219797397997282	0.0247159931217352	ENSG00000143033	MTF2
ENSG00000143183.15	0.44394215902883294	1.5588403181763602	0.0976544218206657	4.54605281309326	5.46613259772299e-06	age	0.0122144394351744	1.01228934034742	0.007155156042253891	1.70708218843077	0.0878067772268704	gender	0.158521155468258	1.1717767134480501	0.188841555870601	0.839439998984548	0.401222446003111	Interaction	-0.412519460344653	0.661980314200417	0.16485841217409	-2.5022651553202797	0.0123401464902646	0.0406701162156003	ENSG00000143183	TMCO1
ENSG00000166126.9	-0.138659731157571	0.870524190326615	0.128995419796972	-1.0749198023915	0.28241063535487	age	0.0101459552479573	1.0101975999657902	0.0070968950305732295	1.4296329879826	0.152822382506691	gender	0.12104759310724601	1.12867862841209	0.18937403215783302	0.6391984778903571	0.522693822188752	Interaction	0.36282191865564795	1.4373798659092	0.166765646481022	2.17563944560331	0.0295822313844596	0.0553944247844936	ENSG00000166126	AMN
ENSG00000076984.16	0.32210107113461894	1.3800242495254498	0.11549943870191198	2.7887674152765203	0.00529090470197489	age	0.010795512337159998	1.01085399413801	0.00702921792298269	1.5358056124370603	0.124586062817182	gender	0.11415938487667698	1.12093077005965	0.190866062641657	0.5981125365959189	0.549764845779388	Interaction	-0.35999137810597703	0.697682341388308	0.18486006915139802	-1.9473723003487	0.0514901164356589	0.067429718730952	ENSG00000076984	MAP2K7
ENSG00000125843.9	0.30230702070721	1.35297655476775	0.10538766811034199	2.86852367196027	0.0041239233764855205	age	0.0106328010595999	1.01068953017363	0.007124063623968459	1.49251910438117	0.135563112765686	gender	0.16638524437985902	1.18102799849331	0.186179254685377	0.8936830511059458	0.371491496267821	Interaction	-0.43982704051784394	0.644147822922746	0.16385303997495598	-2.68427757327584	0.00726867310752524	0.0329749061690489	ENSG00000125843	AP5S1
