gene	gene_coef	gene_exp.coef.	gene_se.coef.	gene_z	gene_Pr...z..	age	age_coef	age_exp.coef.	age_se.coef.	age_z	age_Pr...z..	gender	gender_coef	gender_exp.coef.	gender_se.coef.	gender_z	gender_Pr...z..	Interaction	Interaction_coef	Interaction_exp.coef.	Interaction_se.coef.	Interaction_z	Interaction_Pr...z..	p_adjusted_new
hsa-mir-130b	0.0383630210121139	1.03910838259447	0.00507779605367684	7.55505353239526	4.18687614550987e-14	age	0.0286102227542942	1.02902342638021	0.00655988693646668	4.36138961408752	1.29238994522035e-05	gender	0.351290011634944	1.42089934350606	0.218918637648022	1.60466013953434	0.108568618595774	Interaction	-0.0242355211837105	0.976055800867177	0.00916789769363634	-2.64352002973735	0.00820489109718496	0.0534475674022009
hsa-mir-135b	0.00835825060714038	1.00839327830583	0.00465417134624114	1.79586224600235	0.0725164281403988	age	0.0291150508591383	1.0295430374725	0.00656493278920713	4.43493510047871	9.21000301264607e-06	gender	-0.264878611489204	0.767299085616281	0.205254718181901	-1.29048732148736	0.196881511068008	Interaction	0.0200345670389932	1.02023660597577	0.0072244159577437	2.77317462839589	0.00555123225510761	0.0456434652086626
hsa-mir-3074	0.000445158488730469	1.00044525758647	0.0162592017722201	0.0273788649016615	0.978157555294335	age	0.0297513957496154	1.03019839041705	0.00654872098922834	4.54308494720602	5.54368985002565e-06	gender	0.95935748383488	2.61001895519456	0.317917973922783	3.01762581082594	0.00254763265976978	Interaction	-0.103304477200458	0.901852338198386	0.0321926057648672	-3.20895046381107	0.00133220442169049	0.0197166254410193
hsa-mir-34c	0.00310673136162218	1.00311156225296	0.00121955364066187	2.54743314114179	0.0108518645448419	age	0.0307516005325132	1.03122931525651	0.00664785740558962	4.62579123713706	3.73171029429964e-06	gender	-0.286674883060114	0.750755772582924	0.175635103748338	-1.63221859948271	0.102633443938599	Interaction	0.091582330612962	1.09590699967347	0.0172062843110518	5.32260939999334	1.02289229002345e-07	7.56940294617353e-06
hsa-mir-411	0.048869536439369	1.050083344191	0.0108078343969793	4.52167702097913	6.13516217439639e-06	age	0.0297317236352392	1.03017812443582	0.00652727359146392	4.55499883965657	5.23858674990374e-06	gender	0.00324381278500235	1.00324907963905	0.165031838777128	0.0196556786195847	0.98431804727967	Interaction	-0.0325517354791717	0.967972370021478	0.0131775908687165	-2.47023418798418	0.0135024625026606	0.0713701589426346
hsa-mir-431	0.0509106123714657	1.0522288328393	0.0155204922890005	3.28021891467622	0.00103726566941445	age	0.0286581294970776	1.02907272472167	0.00654202698022471	4.38061927651867	1.18342490167242e-05	gender	0.0967056877670258	1.10153613035075	0.176774690229639	0.547056185709618	0.584340132163124	Interaction	-0.0416855812537209	0.95917131460823	0.0161106683421826	-2.58745201430132	0.00966886618352255	0.0550381613523591
hsa-mir-432	0.0524771353461893	1.05387846523679	0.0126611333329826	4.14474233593962	3.40196018417748e-05	age	0.0301154871549034	1.0305735450879	0.00652681227541026	4.6141187894071	3.94766608206333e-06	gender	0.0468389256360693	1.04795319708973	0.166817548015952	0.280779367597409	0.778879629557827	Interaction	-0.0444578651767857	0.956515901872988	0.0133595102899754	-3.32780649977458	0.00087532642009458	0.0161935387717497
hsa-mir-4668	0.0939637680311128	1.0985199436557	0.0261210292803696	3.59724599756596	0.000321604297742466	age	0.031304961752444	1.03180011548322	0.00666962079958165	4.69366440658929	2.68354132856072e-06	gender	0.573577332018381	1.77460405780372	0.288132373924848	1.99067298202313	0.0465168509031047	Interaction	-0.118933038171042	0.887867251986512	0.0421306909147928	-2.82295484808397	0.00475832724019138	0.0440145269717703
hsa-mir-493	0.0202453633945077	1.02045169080283	0.00450749004546436	4.49149375601606	7.07253747402006e-06	age	0.0305748354666481	1.03104704604857	0.00655604881615636	4.66360704808987	3.10714436273152e-06	gender	0.000228976777255426	1.00022900299444	0.163464156979553	0.00140077666863732	0.998882342288468	Interaction	-0.016158020177762	0.983971820367597	0.00484981052631126	-3.33168071001977	0.000863232343054017	0.0161935387717497
hsa-mir-505	0.00527657115539555	1.00529051677454	0.00269240206721666	1.95980058834613	0.0500191024624594	age	0.0307444301584307	1.03122192098307	0.00652684401832892	4.71045884842553	2.47159703250412e-06	gender	0.89167300662207	2.43920704912784	0.383216600048351	2.32681206009752	0.0199752702500209	Interaction	-0.0158675573662228	0.98425766910122	0.00604498972551956	-2.62491056010174	0.00866717309224879	0.0534475674022009
hsa-mir-508	-0.00590881667838959	0.994108606046094	0.0049988642667864	-1.18203183023974	0.237193071241213	age	0.0294227596521051	1.02985988566385	0.0065021610313328	4.5250739731486	6.03743846283018e-06	gender	-0.276998528230402	0.758055612792892	0.191054415782086	-1.44984101569441	0.147102858873232	Interaction	0.0183588197460509	1.01852837892332	0.00791428185683756	2.31970759674041	0.0203567006086135	0.0941463500696512
hsa-mir-509-1	-0.0297039631796057	0.970732863686678	0.0331014686224688	-0.897360885052788	0.369526377440193	age	0.0293045893778498	1.02973819402903	0.00650652075339953	4.50388010559079	6.67238594938176e-06	gender	-0.316187221320502	0.728922967471273	0.185293238507586	-1.70641532236783	0.0879307797913065	Interaction	0.137797096572089	1.14774264572923	0.0445993457348656	3.08966632361079	0.00200381476337113	0.0247137154149106
